https://corona.rki.de;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
;;;;
;Total Number;Number of;Cases/100,000;Number of
Federal State;;;;
;of cases;new cases;pop.;deaths
Baden-Wuerttemberg;23,617;1,184;213;622
Bavaria;31,453;1,090;241;747
Berlin;4,458;109;119;46
Brandenburg;1,764;73;70;37
Bremen;469;15;69;15
Hamburg;3,663;112;199;56
Hesse;5,808;114;93;120
Mecklenburg-Western Pomerania;601;15;37;11
Lower Saxony;7,343;229;92;171
North Rhine-Westphalia;23,644;616;132;472
Rhineland-Palatinate;4,622;182;113;59
Saarland;2,016;162;204;41
Saxony;3,565;163;87;65
Saxony-Anhalt;1,135;14;51;18
Schleswig-Holstein;2,065;36;71;39
Thuringia;1,435;19;67;25
Total;117,658;4,133;142;2,544
