"Date","Country","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-03-23","Germany","Bavaria",4892,1242.0,37.0,26
"2020-03-23","Germany","Berlin",1077,53.0,29.0,1
"2020-03-23","Germany","Brandenburg",288,14.0,11.0,0
"2020-03-23","Germany","Bremen",170,5.0,25.0,0
"2020-03-23","Germany","Hamburg",943,71.0,51.0,0
"2020-03-23","Germany","Hesse",1347,172.0,21.0,3
"2020-03-23","Germany","Mecklenburg-Western Pomerania",172,0.0,11.0,0
"2020-03-23","Germany","Lower Saxony",1483,177.0,19.0,4
"2020-03-23","Germany","North Rhine-Westphalia",5615,2070.0,31.0,28
"2020-03-23","Germany","Rhineland-Palatinate",1177,124.0,29.0,2
"2020-03-23","Germany","Saarland",200,13.0,20.0,0
"2020-03-23","Germany","Saxony",653,47.0,16.0,0
"2020-03-23","Germany","Saxony-Anhalt",212,1.0,10.0,0
"2020-03-23","Germany","Schleswig-Holstein",383,36.0,13.0,1
"2020-03-23","Germany","Thuringia",249,33.0,12.0,0
"2020-03-24","Germany","Baden-Württemberg",5348,1537.0,48.0,30
"2020-03-24","Germany","Bavaria",5754,862.0,44.0,30
"2020-03-24","Germany","Berlin",1220,143.0,33.0,1
"2020-03-24","Germany","Brandenburg",343,55.0,14.0,0
"2020-03-24","Germany","Bremen",183,13.0,27.0,0
"2020-03-24","Germany","Hamburg",1043,100.0,57.0,0
"2020-03-24","Germany","Hesse",1620,273.0,26.0,4
"2020-03-24","Germany","Mecklenburg-Western Pomerania",199,27.0,12.0,0
"2020-03-24","Germany","Lower Saxony",1764,281.0,22.0,6
"2020-03-24","Germany","North Rhine-Westphalia",6318,703.0,35.0,33
"2020-03-24","Germany","Rhineland-Palatinate",1370,193.0,34.0,5
"2020-03-24","Germany","Saarland",337,137.0,34.0,1
"2020-03-24","Germany","Saxony",811,158.0,20.0,1
"2020-03-24","Germany","Saxony-Anhalt",321,109.0,15.0,0
"2020-03-24","Germany","Schleswig-Holstein",478,95.0,17.0,2
"2020-03-24","Germany","Thuringia",327,78.0,15.0,1
"2020-03-25","Germany","Baden-Württemberg",6069,"",55.0,37
"2020-03-25","Germany","Bavaria",6558,"",50.0,37
"2020-03-25","Germany","Berlin",1428,"",38.0,2
"2020-03-25","Germany","Brandenburg",429,"",17.0,1
"2020-03-25","Germany","Bremen",200,"",29.0,0
"2020-03-25","Germany","Hamburg",1262,"",69.0,0
"2020-03-25","Germany","Hesse",1754,"",28.0,4
"2020-03-25","Germany","Mecklenburg-Western Pomerania",218,"",14.0,0
"2020-03-25","Germany","Lower Saxony",2140,"",27.0,7
"2020-03-25","Germany","North Rhine-Westphalia",7197,"",40.0,43
"2020-03-25","Germany","Rhineland-Palatinate",1591,"",39.0,5
"2020-03-25","Germany","Saarland",403,"",41.0,2
"2020-03-25","Germany","Saxony",959,"",24.0,6
"2020-03-25","Germany","Saxony-Anhalt",375,"",17.0,1
"2020-03-25","Germany","Schleswig-Holstein",577,"",20.0,3
"2020-03-25","Germany","Thuringia",394,"",18.0,1
"2020-03-26","Germany","Baden-Württemberg",7282,1214.0,66.0,56
"2020-03-26","Germany","Bavaria",7992,1435.0,61.0,47
"2020-03-26","Germany","Berlin",1656,228.0,44.0,4
"2020-03-26","Germany","Brandenburg",477,48.0,19.0,1
"2020-03-26","Germany","Bremen",211,11.0,31.0,1
"2020-03-26","Germany","Hamburg",1265,3.0,69.0,0
"2020-03-26","Germany","Hesse",2157,403.0,34.0,6
"2020-03-26","Germany","Mecklenburg-Western Pomerania",244,26.0,15.0,0
"2020-03-26","Germany","Lower Saxony",2347,207.0,29.0,8
"2020-03-26","Germany","North Rhine-Westphalia",7923,727.0,44.0,53
"2020-03-26","Germany","Rhineland-Palatinate",1815,225.0,44.0,6
"2020-03-26","Germany","Saarland",433,30.0,44.0,2
"2020-03-26","Germany","Saxony",1141,182.0,28.0,7
"2020-03-26","Germany","Saxony-Anhalt",418,43.0,19.0,1
"2020-03-26","Germany","Schleswig-Holstein",675,98.0,23.0,3
"2020-03-26","Germany","Thuringia",468,74.0,22.0,3
"2020-03-27","Germany","Baden-Württemberg",8161,878.0,74.0,70
"2020-03-27","Germany","Bavaria",9481,1488.0,73.0,55
"2020-03-27","Germany","Berlin",1955,299.0,52.0,8
"2020-03-27","Germany","Brandenburg",537,60.0,21.0,1
"2020-03-27","Germany","Bremen",241,30.0,35.0,1
"2020-03-27","Germany","Hamburg",1693,428.0,92.0,2
"2020-03-27","Germany","Hesse",2323,166.0,37.0,7
"2020-03-27","Germany","Mecklenburg-Western Pomerania",259,15.0,16.0,0
"2020-03-27","Germany","Lower Saxony",2810,463.0,35.0,10
"2020-03-27","Germany","North Rhine-Westphalia",9235,1311.0,51.0,72
"2020-03-27","Germany","Rhineland-Palatinate",1971,155.0,48.0,8
"2020-03-27","Germany","Saarland",505,72.0,51.0,2
"2020-03-27","Germany","Saxony",1305,164.0,32.0,7
"2020-03-27","Germany","Saxony-Anhalt",458,40.0,21.0,2
"2020-03-27","Germany","Schleswig-Holstein",812,137.0,28.0,4
"2020-03-27","Germany","Thuringia",542,74.0,25.0,4
"2020-03-28","Germany","Baden-Württemberg",9781,1620.0,88.0,101
"2020-03-28","Germany","Bavaria",11150,1669.0,85.0,77
"2020-03-28","Germany","Berlin",2161,206.0,58.0,8
