"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-04-24","United Kingdom","England",108051,194,17372.0,587.0
"2020-04-23","United Kingdom","England",107857,1044,16785.0,514.0
"2020-04-22","United Kingdom","England",106813,2222,16271.0,665.0
"2020-04-21","United Kingdom","England",104591,2879,15606.0,778.0
"2020-04-20","United Kingdom","England",101712,3055,14828.0,429.0
"2020-04-19","United Kingdom","England",98657,2056,14399.0,482.0
"2020-04-18","United Kingdom","England",96601,2535,13917.0,784.0
"2020-04-17","United Kingdom","England",94066,3405,13133.0,738.0
"2020-04-16","United Kingdom","England",90661,3443,12395.0,739.0
"2020-04-15","United Kingdom","England",87218,3634,11656.0,651.0
"2020-04-14","United Kingdom","England",83584,3356,11005.0,744.0
"2020-04-13","United Kingdom","England",80228,3271,10261.0,667.0
"2020-04-12","United Kingdom","England",76957,2623,9594.0,657.0
"2020-04-11","United Kingdom","England",74334,2937,8937.0,823.0
"2020-04-10","United Kingdom","England",71397,3470,8114.0,866.0
"2020-04-09","United Kingdom","England",67927,3924,7248.0,765.0
"2020-04-08","United Kingdom","England",64003,4164,6483.0,828.0
"2020-04-07","United Kingdom","England",59839,4424,5655.0,758.0
"2020-04-06","United Kingdom","England",55415,4290,4897.0,403.0
"2020-04-05","United Kingdom","England",51125,3017,4494.0,555.0
"2020-04-04","United Kingdom","England",48108,3320,3939.0,637.0
"2020-04-03","United Kingdom","England",44788,4034,3302.0,604.0
"2020-04-02","United Kingdom","England",40754,4003,2698.0,532.0
"2020-04-01","United Kingdom","England",36751,4074,2166.0,515.0
"2020-03-31","United Kingdom","England",32677,3751,1651.0,367.0
"2020-03-30","United Kingdom","England",28926,3484,1284.0,159.0
"2020-03-29","United Kingdom","England",25442,2437,1125.0,199.0
"2020-03-28","United Kingdom","England",23005,2378,926.0,247.0
"2020-03-27","United Kingdom","England",20627,2654,679.0,""
"2020-03-26","United Kingdom","England",17973,2615,"",""
"2020-03-25","United Kingdom","England",15358,2262,"",""
"2020-03-24","United Kingdom","England",13096,2019,"",""
"2020-03-23","United Kingdom","England",11077,2016,"",""
"2020-03-22","United Kingdom","England",9061,1206,"",""
"2020-03-21","United Kingdom","England",7855,1034,"",""
"2020-03-20","United Kingdom","England",6821,1079,"",""
"2020-03-19","United Kingdom","England",5742,931,"",""
"2020-03-18","United Kingdom","England",4811,910,"",""
"2020-03-17","United Kingdom","England",3901,678,"",""
"2020-03-16","United Kingdom","England",3223,547,"",""
"2020-03-15","United Kingdom","England",2676,397,"",""
"2020-03-14","United Kingdom","England",2279,315,"",""
"2020-03-13","United Kingdom","England",1964,390,"",""
"2020-03-12","United Kingdom","England",1574,420,"",""
"2020-03-11","United Kingdom","England",1154,365,"",""
"2020-03-10","United Kingdom","England",789,225,"",""
"2020-03-09","United Kingdom","England",564,125,"",""
"2020-03-08","United Kingdom","England",439,50,"",""
"2020-03-07","United Kingdom","England",389,47,"",""
"2020-03-06","United Kingdom","England",342,73,"",""
"2020-03-05","United Kingdom","England",269,47,"",""
"2020-03-04","United Kingdom","England",222,49,"",""
"2020-03-03","United Kingdom","England",173,52,"",""
"2020-03-02","United Kingdom","England",121,39,"",""
"2020-03-01","United Kingdom","England",82,31,"",""
"2020-02-29","United Kingdom","England",51,4,"",""
"2020-02-28","United Kingdom","England",47,11,"",""
"2020-02-27","United Kingdom","England",36,6,"",""
"2020-02-26","United Kingdom","England",30,3,"",""
"2020-02-25","United Kingdom","England",27,4,"",""
"2020-02-24","United Kingdom","England",23,1,"",""
"2020-02-23","United Kingdom","England",22,4,"",""
"2020-02-21","United Kingdom","England",18,1,"",""
"2020-02-19","United Kingdom","England",17,1,"",""
"2020-02-17","United Kingdom","England",16,1,"",""
"2020-02-16","United Kingdom","England",15,1,"",""
"2020-02-14","United Kingdom","England",14,1,"",""
"2020-02-13","United Kingdom","England",13,1,"",""
"2020-02-12","United Kingdom","England",12,1,"",""
"2020-02-11","United Kingdom","England",11,1,"",""
"2020-02-09","United Kingdom","England",10,1,"",""
"2020-02-08","United Kingdom","England",9,1,"",""
"2020-02-03","United Kingdom","England",8,6,"",""
"2020-01-31","United Kingdom","England",2,1,"",""
"2020-01-30","United Kingdom","England",1,1,"",""
