"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-04-27","United Kingdom","England",114456,103,18748.0,329.0
"2020-04-26","United Kingdom","England",114353,509,18419.0,336.0
"2020-04-25","United Kingdom","England",113844,1297,18083.0,711.0
"2020-04-24","United Kingdom","England",112547,2501,17372.0,587.0
"2020-04-23","United Kingdom","England",110046,2610,16785.0,514.0
"2020-04-22","United Kingdom","England",107436,2718,16271.0,665.0
"2020-04-21","United Kingdom","England",104718,2959,15606.0,778.0
"2020-04-20","United Kingdom","England",101759,3081,14828.0,429.0
"2020-04-19","United Kingdom","England",98678,2063,14399.0,482.0
"2020-04-18","United Kingdom","England",96615,2534,13917.0,784.0
"2020-04-17","United Kingdom","England",94081,3410,13133.0,738.0
"2020-04-16","United Kingdom","England",90671,3447,12395.0,739.0
"2020-04-15","United Kingdom","England",87224,3634,11656.0,651.0
"2020-04-14","United Kingdom","England",83590,3356,11005.0,744.0
"2020-04-13","United Kingdom","England",80234,3268,10261.0,667.0
"2020-04-12","United Kingdom","England",76966,2622,9594.0,657.0
"2020-04-11","United Kingdom","England",74344,2935,8937.0,823.0
"2020-04-10","United Kingdom","England",71409,3472,8114.0,866.0
"2020-04-09","United Kingdom","England",67937,3928,7248.0,765.0
"2020-04-08","United Kingdom","England",64009,4159,6483.0,828.0
"2020-04-07","United Kingdom","England",59850,4425,5655.0,758.0
"2020-04-06","United Kingdom","England",55425,4284,4897.0,403.0
"2020-04-05","United Kingdom","England",51141,3020,4494.0,555.0
"2020-04-04","United Kingdom","England",48121,3328,3939.0,637.0
"2020-04-03","United Kingdom","England",44793,4033,3302.0,604.0
"2020-04-02","United Kingdom","England",40760,4008,2698.0,532.0
"2020-04-01","United Kingdom","England",36752,4078,2166.0,515.0
"2020-03-31","United Kingdom","England",32674,3749,1651.0,367.0
"2020-03-30","United Kingdom","England",28925,3484,1284.0,159.0
"2020-03-29","United Kingdom","England",25441,2435,1125.0,199.0
"2020-03-28","United Kingdom","England",23006,2377,926.0,247.0
"2020-03-27","United Kingdom","England",20629,2653,679.0,""
"2020-03-26","United Kingdom","England",17976,2613,"",""
"2020-03-25","United Kingdom","England",15363,2264,"",""
"2020-03-24","United Kingdom","England",13099,2017,"",""
"2020-03-23","United Kingdom","England",11082,2017,"",""
"2020-03-22","United Kingdom","England",9065,1206,"",""
"2020-03-21","United Kingdom","England",7859,1034,"",""
"2020-03-20","United Kingdom","England",6825,1082,"",""
"2020-03-19","United Kingdom","England",5743,931,"",""
"2020-03-18","United Kingdom","England",4812,911,"",""
"2020-03-17","United Kingdom","England",3901,678,"",""
"2020-03-16","United Kingdom","England",3223,546,"",""
"2020-03-15","United Kingdom","England",2677,397,"",""
"2020-03-14","United Kingdom","England",2280,315,"",""
"2020-03-13","United Kingdom","England",1965,390,"",""
"2020-03-12","United Kingdom","England",1575,421,"",""
"2020-03-11","United Kingdom","England",1154,365,"",""
"2020-03-10","United Kingdom","England",789,225,"",""
"2020-03-09","United Kingdom","England",564,125,"",""
"2020-03-08","United Kingdom","England",439,50,"",""
"2020-03-07","United Kingdom","England",389,47,"",""
"2020-03-06","United Kingdom","England",342,73,"",""
"2020-03-05","United Kingdom","England",269,47,"",""
"2020-03-04","United Kingdom","England",222,49,"",""
"2020-03-03","United Kingdom","England",173,52,"",""
"2020-03-02","United Kingdom","England",121,39,"",""
"2020-03-01","United Kingdom","England",82,31,"",""
"2020-02-29","United Kingdom","England",51,4,"",""
"2020-02-28","United Kingdom","England",47,11,"",""
"2020-02-27","United Kingdom","England",36,6,"",""
"2020-02-26","United Kingdom","England",30,3,"",""
"2020-02-25","United Kingdom","England",27,4,"",""
"2020-02-24","United Kingdom","England",23,1,"",""
"2020-02-23","United Kingdom","England",22,4,"",""
"2020-02-21","United Kingdom","England",18,1,"",""
"2020-02-19","United Kingdom","England",17,1,"",""
"2020-02-17","United Kingdom","England",16,1,"",""
"2020-02-16","United Kingdom","England",15,1,"",""
"2020-02-14","United Kingdom","England",14,1,"",""
"2020-02-13","United Kingdom","England",13,1,"",""
"2020-02-12","United Kingdom","England",12,1,"",""
"2020-02-11","United Kingdom","England",11,1,"",""
"2020-02-09","United Kingdom","England",10,1,"",""
"2020-02-08","United Kingdom","England",9,1,"",""
"2020-02-03","United Kingdom","England",8,6,"",""
"2020-01-31","United Kingdom","England",2,1,"",""
"2020-01-30","United Kingdom","England",1,1,"",""
