"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-06-06","United Kingdom","England",154908,6,36127.0,179.0
"2020-06-05","United Kingdom","England",154902,76,35948.0,343.0
"2020-06-04","United Kingdom","England",154826,257,35605.0,149.0
"2020-06-03","United Kingdom","England",154569,407,35456.0,328.0
"2020-06-02","United Kingdom","England",154162,463,35128.0,315.0
"2020-06-01","United Kingdom","England",153699,441,34813.0,96.0
"2020-05-31","United Kingdom","England",153258,306,34717.0,81.0
"2020-05-30","United Kingdom","England",152952,345,34636.0,194.0
"2020-05-29","United Kingdom","England",152607,439,34442.0,349.0
"2020-05-28","United Kingdom","England",152168,452,34093.0,384.0
"2020-05-27","United Kingdom","England",151716,546,33709.0,405.0
"2020-05-26","United Kingdom","England",151170,542,33304.0,117.0
"2020-05-25","United Kingdom","England",150628,510,33187.0,104.0
"2020-05-24","United Kingdom","England",150118,385,33083.0,417.0
"2020-05-23","United Kingdom","England",149733,454,32666.0,249.0
"2020-05-22","United Kingdom","England",149279,702,32417.0,300.0
"2020-05-21","United Kingdom","England",148577,744,32117.0,274.0
"2020-05-20","United Kingdom","England",147833,819,31843.0,313.0
"2020-05-19","United Kingdom","England",147014,1025,31530.0,520.0
"2020-05-18","United Kingdom","England",145989,935,31010.0,144.0
"2020-05-17","United Kingdom","England",145054,634,30866.0,113.0
"2020-05-16","United Kingdom","England",144420,635,30753.0,389.0
"2020-05-15","United Kingdom","England",143785,906,30364.0,336.0
"2020-05-14","United Kingdom","England",142879,900,30028.0,355.0
"2020-05-13","United Kingdom","England",141979,1076,29673.0,413.0
"2020-05-12","United Kingdom","England",140903,1096,29260.0,603.0
"2020-05-11","United Kingdom","England",139807,1235,28657.0,190.0
"2020-05-10","United Kingdom","England",138572,726,28467.0,217.0
"2020-05-09","United Kingdom","England",137846,889,28250.0,283.0
"2020-05-08","United Kingdom","England",136957,1015,27967.0,535.0
"2020-05-07","United Kingdom","England",135942,1435,27432.0,424.0
"2020-05-06","United Kingdom","England",134507,1428,27008.0,567.0
"2020-05-05","United Kingdom","England",133079,1589,26441.0,656.0
"2020-05-04","United Kingdom","England",131490,1612,25785.0,257.0
"2020-05-03","United Kingdom","England",129878,961,25528.0,246.0
"2020-05-02","United Kingdom","England",128917,1239,25282.0,519.0
"2020-05-01","United Kingdom","England",127678,1947,24763.0,653.0
"2020-04-30","United Kingdom","England",125731,2124,24110.0,560.0
"2020-04-29","United Kingdom","England",123607,2338,23550.0,632.0
"2020-04-28","United Kingdom","England",121269,2275,22918.0,869.0
"2020-04-27","United Kingdom","England",118994,2223,22049.0,307.0
"2020-04-26","United Kingdom","England",116771,1405,21742.0,343.0
"2020-04-25","United Kingdom","England",115366,1809,21399.0,741.0
"2020-04-24","United Kingdom","England",113557,2770,20658.0,824.0
"2020-04-23","United Kingdom","England",110787,2762,19834.0,603.0
"2020-04-22","United Kingdom","England",108025,2760,19231.0,739.0
"2020-04-21","United Kingdom","England",105265,2988,18492.0,1122.0
"2020-04-20","United Kingdom","England",102277,3076,17370.0,539.0
"2020-04-19","United Kingdom","England",99201,2088,16831.0,384.0
"2020-04-18","United Kingdom","England",97113,2573,16447.0,1011.0
"2020-04-17","United Kingdom","England",94540,3418,15436.0,826.0
"2020-04-16","United Kingdom","England",91122,3439,14610.0,907.0
"2020-04-15","United Kingdom","England",87683,3597,13703.0,732.0
"2020-04-14","United Kingdom","England",84086,3416,12971.0,1010.0
"2020-04-13","United Kingdom","England",80670,3304,11961.0,694.0
"2020-04-12","United Kingdom","England",77366,2682,11267.0,606.0
"2020-04-11","United Kingdom","England",74684,2994,10661.0,745.0
"2020-04-10","United Kingdom","England",71690,3506,9916.0,1038.0
"2020-04-09","United Kingdom","England",68184,4004,8878.0,987.0
"2020-04-08","United Kingdom","England",64180,4229,7891.0,924.0
"2020-04-07","United Kingdom","England",59951,4478,6967.0,1010.0
"2020-04-06","United Kingdom","England",55473,4325,5957.0,532.0
"2020-04-05","United Kingdom","England",51148,3030,5425.0,578.0
"2020-04-04","United Kingdom","England",48118,3320,4847.0,689.0
"2020-04-03","United Kingdom","England",44798,4043,4158.0,655.0
"2020-04-02","United Kingdom","England",40755,4006,3503.0,603.0
"2020-04-01","United Kingdom","England",36749,4083,2900.0,613.0
"2020-03-31","United Kingdom","England",32666,3759,2287.0,368.0
"2020-03-30","United Kingdom","England",28907,3491,1919.0,353.0
"2020-03-29","United Kingdom","England",25416,2435,1566.0,195.0
