"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-05-14","United Kingdom","England",141387,52,30028.0,355.0
"2020-05-13","United Kingdom","England",141335,364,29673.0,413.0
"2020-05-12","United Kingdom","England",140971,887,29260.0,603.0
"2020-05-11","United Kingdom","England",140084,1148,28657.0,190.0
"2020-05-10","United Kingdom","England",138936,713,28467.0,217.0
"2020-05-09","United Kingdom","England",138223,892,28250.0,283.0
"2020-05-08","United Kingdom","England",137331,1019,27967.0,535.0
"2020-05-07","United Kingdom","England",136312,1425,27432.0,424.0
"2020-05-06","United Kingdom","England",134887,1411,27008.0,567.0
"2020-05-05","United Kingdom","England",133476,1620,26441.0,656.0
"2020-05-04","United Kingdom","England",131856,1675,25785.0,257.0
"2020-05-03","United Kingdom","England",130181,985,25528.0,246.0
"2020-05-02","United Kingdom","England",129196,1255,25282.0,519.0
"2020-05-01","United Kingdom","England",127941,1962,24763.0,653.0
"2020-04-30","United Kingdom","England",125979,2113,24110.0,560.0
"2020-04-29","United Kingdom","England",123866,2363,23550.0,632.0
"2020-04-28","United Kingdom","England",121503,2286,22918.0,869.0
"2020-04-27","United Kingdom","England",119217,2219,22049.0,307.0
"2020-04-26","United Kingdom","England",116998,1398,21742.0,343.0
"2020-04-25","United Kingdom","England",115600,1816,21399.0,741.0
"2020-04-24","United Kingdom","England",113784,2781,20658.0,824.0
"2020-04-23","United Kingdom","England",111003,2758,19834.0,603.0
"2020-04-22","United Kingdom","England",108245,2776,19231.0,739.0
"2020-04-21","United Kingdom","England",105469,2987,18492.0,1122.0
"2020-04-20","United Kingdom","England",102482,3077,17370.0,539.0
"2020-04-19","United Kingdom","England",99405,2079,16831.0,384.0
"2020-04-18","United Kingdom","England",97326,2570,16447.0,1011.0
"2020-04-17","United Kingdom","England",94756,3434,15436.0,826.0
"2020-04-16","United Kingdom","England",91322,3449,14610.0,907.0
"2020-04-15","United Kingdom","England",87873,3627,13703.0,732.0
"2020-04-14","United Kingdom","England",84246,3442,12971.0,1010.0
"2020-04-13","United Kingdom","England",80804,3336,11961.0,694.0
"2020-04-12","United Kingdom","England",77468,2694,11267.0,606.0
"2020-04-11","United Kingdom","England",74774,3003,10661.0,745.0
"2020-04-10","United Kingdom","England",71771,3528,9916.0,1038.0
"2020-04-09","United Kingdom","England",68243,4025,8878.0,987.0
"2020-04-08","United Kingdom","England",64218,4254,7891.0,924.0
"2020-04-07","United Kingdom","England",59964,4497,6967.0,1010.0
"2020-04-06","United Kingdom","England",55467,4335,5957.0,532.0
"2020-04-05","United Kingdom","England",51132,3026,5425.0,578.0
"2020-04-04","United Kingdom","England",48106,3325,4847.0,689.0
"2020-04-03","United Kingdom","England",44781,4031,4158.0,655.0
"2020-04-02","United Kingdom","England",40750,4007,3503.0,603.0
"2020-04-01","United Kingdom","England",36743,4080,2900.0,613.0
"2020-03-31","United Kingdom","England",32663,3749,2287.0,368.0
"2020-03-30","United Kingdom","England",28914,3482,1919.0,353.0
"2020-03-29","United Kingdom","England",25432,2437,1566.0,195.0
"2020-03-28","United Kingdom","England",22995,2372,1371.0,279.0
"2020-03-27","United Kingdom","England",20623,2654,1092.0,272.0
"2020-03-26","United Kingdom","England",17969,2607,820.0,169.0
"2020-03-25","United Kingdom","England",15362,2262,651.0,177.0
"2020-03-24","United Kingdom","England",13100,2017,474.0,143.0
"2020-03-23","United Kingdom","England",11083,2017,331.0,67.0
"2020-03-22","United Kingdom","England",9066,1205,264.0,24.0
"2020-03-21","United Kingdom","England",7861,1034,240.0,54.0
"2020-03-20","United Kingdom","England",6827,1079,186.0,32.0
"2020-03-19","United Kingdom","England",5748,931,154.0,42.0
"2020-03-18","United Kingdom","England",4817,910,112.0,33.0
"2020-03-17","United Kingdom","England",3907,679,79.0,15.0
"2020-03-16","United Kingdom","England",3228,547,64.0,22.0
"2020-03-15","United Kingdom","England",2681,397,42.0,14.0
"2020-03-14","United Kingdom","England",2284,315,28.0,18.0
"2020-03-13","United Kingdom","England",1969,390,10.0,1.0
"2020-03-12","United Kingdom","England",1579,421,9.0,2.0
"2020-03-11","United Kingdom","England",1158,365,7.0,0.0
"2020-03-10","United Kingdom","England",793,225,7.0,4.0
"2020-03-09","United Kingdom","England",568,125,3.0,1.0
