"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-04-15","United Kingdom","England",79489,114,11656.0,651.0
"2020-04-14","United Kingdom","England",79375,931,11005.0,744.0
"2020-04-13","United Kingdom","England",78444,2495,10261.0,667.0
"2020-04-12","United Kingdom","England",75949,2481,9594.0,657.0
"2020-04-11","United Kingdom","England",73468,2764,8937.0,823.0
"2020-04-10","United Kingdom","England",70704,3412,8114.0,866.0
"2020-04-09","United Kingdom","England",67292,3842,7248.0,765.0
"2020-04-08","United Kingdom","England",63450,4099,6483.0,828.0
"2020-04-07","United Kingdom","England",59351,4325,5655.0,758.0
"2020-04-06","United Kingdom","England",55026,4183,4897.0,403.0
"2020-04-05","United Kingdom","England",50843,3020,4494.0,555.0
"2020-04-04","United Kingdom","England",47823,3227,3939.0,637.0
"2020-04-03","United Kingdom","England",44596,3936,3302.0,604.0
"2020-04-02","United Kingdom","England",40660,3894,2698.0,532.0
"2020-04-01","United Kingdom","England",36766,4078,2166.0,515.0
"2020-03-31","United Kingdom","England",32688,3763,1651.0,367.0
"2020-03-30","United Kingdom","England",28925,3481,1284.0,159.0
"2020-03-29","United Kingdom","England",25444,2437,1125.0,199.0
"2020-03-28","United Kingdom","England",23007,2375,926.0,247.0
"2020-03-27","United Kingdom","England",20632,2664,679.0,""
"2020-03-26","United Kingdom","England",17968,2615,"",""
"2020-03-25","United Kingdom","England",15353,2259,"",""
"2020-03-24","United Kingdom","England",13094,2022,"",""
"2020-03-23","United Kingdom","England",11072,2023,"",""
"2020-03-22","United Kingdom","England",9049,1204,"",""
"2020-03-21","United Kingdom","England",7845,1030,"",""
"2020-03-20","United Kingdom","England",6815,1081,"",""
"2020-03-19","United Kingdom","England",5734,932,"",""
"2020-03-18","United Kingdom","England",4802,907,"",""
"2020-03-17","United Kingdom","England",3895,675,"",""
"2020-03-16","United Kingdom","England",3220,545,"",""
"2020-03-15","United Kingdom","England",2675,398,"",""
"2020-03-14","United Kingdom","England",2277,317,"",""
"2020-03-13","United Kingdom","England",1960,390,"",""
"2020-03-12","United Kingdom","England",1570,420,"",""
"2020-03-11","United Kingdom","England",1150,365,"",""
"2020-03-10","United Kingdom","England",785,224,"",""
"2020-03-09","United Kingdom","England",561,125,"",""
"2020-03-08","United Kingdom","England",436,50,"",""
"2020-03-07","United Kingdom","England",386,47,"",""
"2020-03-06","United Kingdom","England",339,73,"",""
"2020-03-05","United Kingdom","England",266,47,"",""
"2020-03-04","United Kingdom","England",219,49,"",""
"2020-03-03","United Kingdom","England",170,52,"",""
"2020-03-02","United Kingdom","England",118,39,"",""
"2020-03-01","United Kingdom","England",79,30,"",""
"2020-02-29","United Kingdom","England",49,4,"",""
"2020-02-28","United Kingdom","England",45,11,"",""
"2020-02-27","United Kingdom","England",34,6,"",""
"2020-02-26","United Kingdom","England",28,3,"",""
"2020-02-25","United Kingdom","England",25,4,"",""
"2020-02-24","United Kingdom","England",21,1,"",""
"2020-02-23","United Kingdom","England",20,4,"",""
"2020-02-21","United Kingdom","England",16,1,"",""
"2020-02-19","United Kingdom","England",15,1,"",""
"2020-02-14","United Kingdom","England",14,1,"",""
"2020-02-13","United Kingdom","England",13,1,"",""
"2020-02-12","United Kingdom","England",12,1,"",""
"2020-02-11","United Kingdom","England",11,1,"",""
"2020-02-09","United Kingdom","England",10,1,"",""
"2020-02-08","United Kingdom","England",9,1,"",""
"2020-02-03","United Kingdom","England",8,6,"",""
"2020-01-31","United Kingdom","England",2,1,"",""
"2020-01-30","United Kingdom","England",1,1,"",""
