"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-06-09","United Kingdom","England",155714,12,36521.0,277.0
"2020-06-08","United Kingdom","England",155702,114,36244.0,52.0
"2020-06-07","United Kingdom","England",155588,179,36192.0,65.0
"2020-06-06","United Kingdom","England",155409,195,36127.0,179.0
"2020-06-05","United Kingdom","England",155214,336,35948.0,343.0
"2020-06-04","United Kingdom","England",154878,322,35605.0,149.0
"2020-06-03","United Kingdom","England",154556,454,35456.0,328.0
"2020-06-02","United Kingdom","England",154102,481,35128.0,315.0
"2020-06-01","United Kingdom","England",153621,448,34813.0,96.0
"2020-05-31","United Kingdom","England",153173,305,34717.0,81.0
"2020-05-30","United Kingdom","England",152868,342,34636.0,194.0
"2020-05-29","United Kingdom","England",152526,432,34442.0,349.0
"2020-05-28","United Kingdom","England",152094,451,34093.0,384.0
"2020-05-27","United Kingdom","England",151643,545,33709.0,405.0
"2020-05-26","United Kingdom","England",151098,538,33304.0,117.0
"2020-05-25","United Kingdom","England",150560,507,33187.0,104.0
"2020-05-24","United Kingdom","England",150053,386,33083.0,417.0
"2020-05-23","United Kingdom","England",149667,455,32666.0,249.0
"2020-05-22","United Kingdom","England",149212,703,32417.0,300.0
"2020-05-21","United Kingdom","England",148509,737,32117.0,274.0
"2020-05-20","United Kingdom","England",147772,817,31843.0,313.0
"2020-05-19","United Kingdom","England",146955,1018,31530.0,520.0
"2020-05-18","United Kingdom","England",145937,932,31010.0,144.0
"2020-05-17","United Kingdom","England",145005,630,30866.0,113.0
"2020-05-16","United Kingdom","England",144375,630,30753.0,389.0
"2020-05-15","United Kingdom","England",143745,904,30364.0,336.0
"2020-05-14","United Kingdom","England",142841,896,30028.0,355.0
"2020-05-13","United Kingdom","England",141945,1071,29673.0,413.0
"2020-05-12","United Kingdom","England",140874,1093,29260.0,603.0
"2020-05-11","United Kingdom","England",139781,1232,28657.0,190.0
"2020-05-10","United Kingdom","England",138549,724,28467.0,217.0
"2020-05-09","United Kingdom","England",137825,887,28250.0,283.0
"2020-05-08","United Kingdom","England",136938,1016,27967.0,535.0
