"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-04-28","United Kingdom","England",115859,54,22918.0,869.0
"2020-04-27","United Kingdom","England",115805,485,22049.0,307.0
"2020-04-26","United Kingdom","England",115320,940,21742.0,343.0
"2020-04-25","United Kingdom","England",114380,1594,21399.0,741.0
"2020-04-24","United Kingdom","England",112786,2619,20658.0,824.0
"2020-04-23","United Kingdom","England",110167,2676,19834.0,603.0
"2020-04-22","United Kingdom","England",107491,2739,19231.0,739.0
"2020-04-21","United Kingdom","England",104752,2971,18492.0,1122.0
"2020-04-20","United Kingdom","England",101781,3089,17370.0,539.0
"2020-04-19","United Kingdom","England",98692,2076,16831.0,384.0
"2020-04-18","United Kingdom","England",96616,2540,16447.0,1011.0
"2020-04-17","United Kingdom","England",94076,3415,15436.0,826.0
"2020-04-16","United Kingdom","England",90661,3449,14610.0,907.0
"2020-04-15","United Kingdom","England",87212,3633,13703.0,732.0
"2020-04-14","United Kingdom","England",83579,3360,12971.0,1010.0
"2020-04-13","United Kingdom","England",80219,3269,11961.0,694.0
"2020-04-12","United Kingdom","England",76950,2622,11267.0,606.0
"2020-04-11","United Kingdom","England",74328,2931,10661.0,745.0
"2020-04-10","United Kingdom","England",71397,3474,9916.0,1038.0
"2020-04-09","United Kingdom","England",67923,3921,8878.0,987.0
"2020-04-08","United Kingdom","England",64002,4158,7891.0,924.0
"2020-04-07","United Kingdom","England",59844,4423,6967.0,1010.0
"2020-04-06","United Kingdom","England",55421,4289,5957.0,532.0
"2020-04-05","United Kingdom","England",51132,3017,5425.0,578.0
"2020-04-04","United Kingdom","England",48115,3319,4847.0,689.0
"2020-04-03","United Kingdom","England",44796,4036,4158.0,655.0
"2020-04-02","United Kingdom","England",40760,4005,3503.0,603.0
"2020-04-01","United Kingdom","England",36755,4084,2900.0,613.0
"2020-03-31","United Kingdom","England",32671,3745,2287.0,368.0
"2020-03-30","United Kingdom","England",28926,3484,1919.0,353.0
"2020-03-29","United Kingdom","England",25442,2435,1566.0,195.0
"2020-03-28","United Kingdom","England",23007,2377,1371.0,279.0
"2020-03-27","United Kingdom","England",20630,2656,1092.0,272.0
"2020-03-26","United Kingdom","England",17974,2613,820.0,169.0
"2020-03-25","United Kingdom","England",15361,2263,651.0,177.0
"2020-03-24","United Kingdom","England",13098,2018,474.0,143.0
"2020-03-23","United Kingdom","England",11080,2016,331.0,67.0
"2020-03-22","United Kingdom","England",9064,1206,264.0,24.0
"2020-03-21","United Kingdom","England",7858,1034,240.0,54.0
"2020-03-20","United Kingdom","England",6824,1081,186.0,32.0
"2020-03-19","United Kingdom","England",5743,931,154.0,42.0
"2020-03-18","United Kingdom","England",4812,910,112.0,33.0
"2020-03-17","United Kingdom","England",3902,678,79.0,15.0
"2020-03-16","United Kingdom","England",3224,546,64.0,22.0
"2020-03-15","United Kingdom","England",2678,397,42.0,14.0
"2020-03-14","United Kingdom","England",2281,315,28.0,18.0
"2020-03-13","United Kingdom","England",1966,391,10.0,1.0
"2020-03-12","United Kingdom","England",1575,421,9.0,2.0
"2020-03-11","United Kingdom","England",1154,365,7.0,0.0
"2020-03-10","United Kingdom","England",789,225,7.0,4.0
"2020-03-09","United Kingdom","England",564,125,3.0,1.0
"2020-03-08","United Kingdom","England",439,50,2.0,0.0
"2020-03-07","United Kingdom","England",389,47,2.0,1.0
"2020-03-06","United Kingdom","England",342,73,1.0,""
"2020-03-05","United Kingdom","England",269,47,"",""
"2020-03-04","United Kingdom","England",222,49,"",""
"2020-03-03","United Kingdom","England",173,52,"",""
"2020-03-02","United Kingdom","England",121,39,"",""
"2020-03-01","United Kingdom","England",82,31,"",""
"2020-02-29","United Kingdom","England",51,4,"",""
"2020-02-28","United Kingdom","England",47,11,"",""
"2020-02-27","United Kingdom","England",36,6,"",""
"2020-02-26","United Kingdom","England",30,3,"",""
"2020-02-25","United Kingdom","England",27,4,"",""
"2020-02-24","United Kingdom","England",23,1,"",""
"2020-02-23","United Kingdom","England",22,4,"",""
"2020-02-21","United Kingdom","England",18,1,"",""
"2020-02-19","United Kingdom","England",17,1,"",""
"2020-02-17","United Kingdom","England",16,1,"",""
"2020-02-16","United Kingdom","England",15,1,"",""
"2020-02-14","United Kingdom","England",14,1,"",""
"2020-02-13","United Kingdom","England",13,1,"",""
"2020-02-12","United Kingdom","England",12,1,"",""
"2020-02-11","United Kingdom","England",11,1,"",""
"2020-02-09","United Kingdom","England",10,1,"",""
"2020-02-08","United Kingdom","England",9,1,"",""
"2020-02-03","United Kingdom","England",8,6,"",""
"2020-01-31","United Kingdom","England",2,1,"",""
"2020-01-30","United Kingdom","England",1,1,"",""
