"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-04-22","United Kingdom","England",102221,132,16271.0,665.0
"2020-04-21","United Kingdom","England",102089,1101,15606.0,778.0
"2020-04-20","United Kingdom","England",100988,2598,14828.0,429.0
"2020-04-19","United Kingdom","England",98390,1923,14399.0,482.0
"2020-04-18","United Kingdom","England",96467,2478,13917.0,784.0
"2020-04-17","United Kingdom","England",93989,3418,13133.0,738.0
"2020-04-16","United Kingdom","England",90571,3443,12395.0,739.0
"2020-04-15","United Kingdom","England",87128,3624,11656.0,651.0
"2020-04-14","United Kingdom","England",83504,3333,11005.0,744.0
"2020-04-13","United Kingdom","England",80171,3277,10261.0,667.0
"2020-04-12","United Kingdom","England",76894,2615,9594.0,657.0
"2020-04-11","United Kingdom","England",74279,2920,8937.0,823.0
"2020-04-10","United Kingdom","England",71359,3464,8114.0,866.0
"2020-04-09","United Kingdom","England",67895,3924,7248.0,765.0
"2020-04-08","United Kingdom","England",63971,4159,6483.0,828.0
"2020-04-07","United Kingdom","England",59812,4423,5655.0,758.0
"2020-04-06","United Kingdom","England",55389,4280,4897.0,403.0
"2020-04-05","United Kingdom","England",51109,3015,4494.0,555.0
"2020-04-04","United Kingdom","England",48094,3316,3939.0,637.0
"2020-04-03","United Kingdom","England",44778,4031,3302.0,604.0
"2020-04-02","United Kingdom","England",40747,4004,2698.0,532.0
"2020-04-01","United Kingdom","England",36743,4074,2166.0,515.0
"2020-03-31","United Kingdom","England",32669,3747,1651.0,367.0
"2020-03-30","United Kingdom","England",28922,3486,1284.0,159.0
"2020-03-29","United Kingdom","England",25436,2435,1125.0,199.0
"2020-03-28","United Kingdom","England",23001,2377,926.0,247.0
"2020-03-27","United Kingdom","England",20624,2652,679.0,""
"2020-03-26","United Kingdom","England",17972,2616,"",""
"2020-03-25","United Kingdom","England",15356,2261,"",""
"2020-03-24","United Kingdom","England",13095,2020,"",""
"2020-03-23","United Kingdom","England",11075,2024,"",""
"2020-03-22","United Kingdom","England",9051,1203,"",""
"2020-03-21","United Kingdom","England",7848,1030,"",""
"2020-03-20","United Kingdom","England",6818,1082,"",""
"2020-03-19","United Kingdom","England",5736,932,"",""
"2020-03-18","United Kingdom","England",4804,908,"",""
"2020-03-17","United Kingdom","England",3896,679,"",""
"2020-03-16","United Kingdom","England",3217,545,"",""
"2020-03-15","United Kingdom","England",2672,398,"",""
"2020-03-14","United Kingdom","England",2274,316,"",""
"2020-03-13","United Kingdom","England",1958,389,"",""
"2020-03-12","United Kingdom","England",1569,420,"",""
"2020-03-11","United Kingdom","England",1149,365,"",""
"2020-03-10","United Kingdom","England",784,222,"",""
"2020-03-09","United Kingdom","England",562,125,"",""
"2020-03-08","United Kingdom","England",437,50,"",""
"2020-03-07","United Kingdom","England",387,46,"",""
"2020-03-06","United Kingdom","England",341,73,"",""
"2020-03-05","United Kingdom","England",268,47,"",""
"2020-03-04","United Kingdom","England",221,49,"",""
"2020-03-03","United Kingdom","England",172,51,"",""
"2020-03-02","United Kingdom","England",121,39,"",""
"2020-03-01","United Kingdom","England",82,31,"",""
"2020-02-29","United Kingdom","England",51,4,"",""
"2020-02-28","United Kingdom","England",47,11,"",""
"2020-02-27","United Kingdom","England",36,6,"",""
"2020-02-26","United Kingdom","England",30,3,"",""
"2020-02-25","United Kingdom","England",27,4,"",""
"2020-02-24","United Kingdom","England",23,1,"",""
"2020-02-23","United Kingdom","England",22,4,"",""
"2020-02-21","United Kingdom","England",18,1,"",""
"2020-02-19","United Kingdom","England",17,1,"",""
"2020-02-17","United Kingdom","England",16,1,"",""
"2020-02-16","United Kingdom","England",15,1,"",""
"2020-02-14","United Kingdom","England",14,1,"",""
"2020-02-13","United Kingdom","England",13,1,"",""
"2020-02-12","United Kingdom","England",12,1,"",""
"2020-02-11","United Kingdom","England",11,1,"",""
"2020-02-09","United Kingdom","England",10,1,"",""
"2020-02-08","United Kingdom","England",9,1,"",""
"2020-02-03","United Kingdom","England",8,6,"",""
"2020-01-31","United Kingdom","England",2,1,"",""
"2020-01-30","United Kingdom","England",1,1,"",""
