"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-05-20","United Kingdom","England",146662,34,31843.0,313.0
"2020-05-19","United Kingdom","England",146628,342,31530.0,520.0
"2020-05-18","United Kingdom","England",146286,751,31010.0,144.0
"2020-05-17","United Kingdom","England",145535,586,30866.0,113.0
"2020-05-16","United Kingdom","England",144949,633,30753.0,389.0
"2020-05-15","United Kingdom","England",144316,901,30364.0,336.0
"2020-05-14","United Kingdom","England",143415,907,30028.0,355.0
"2020-05-13","United Kingdom","England",142508,1066,29673.0,413.0
"2020-05-12","United Kingdom","England",141442,1096,29260.0,603.0
"2020-05-11","United Kingdom","England",140346,1243,28657.0,190.0
"2020-05-10","United Kingdom","England",139103,727,28467.0,217.0
"2020-05-09","United Kingdom","England",138376,895,28250.0,283.0
"2020-05-08","United Kingdom","England",137481,1029,27967.0,535.0
"2020-05-07","United Kingdom","England",136452,1453,27432.0,424.0
"2020-05-06","United Kingdom","England",134999,1453,27008.0,567.0
"2020-05-05","United Kingdom","England",133546,1627,26441.0,656.0
"2020-05-04","United Kingdom","England",131919,1674,25785.0,257.0
"2020-05-03","United Kingdom","England",130245,979,25528.0,246.0
"2020-05-02","United Kingdom","England",129266,1255,25282.0,519.0
"2020-05-01","United Kingdom","England",128011,1972,24763.0,653.0
"2020-04-30","United Kingdom","England",126039,2116,24110.0,560.0
"2020-04-29","United Kingdom","England",123923,2367,23550.0,632.0
"2020-04-28","United Kingdom","England",121556,2284,22918.0,869.0
"2020-04-27","United Kingdom","England",119272,2213,22049.0,307.0
"2020-04-26","United Kingdom","England",117059,1396,21742.0,343.0
"2020-04-25","United Kingdom","England",115663,1815,21399.0,741.0
"2020-04-24","United Kingdom","England",113848,2776,20658.0,824.0
"2020-04-23","United Kingdom","England",111072,2763,19834.0,603.0
"2020-04-22","United Kingdom","England",108309,2786,19231.0,739.0
"2020-04-21","United Kingdom","England",105523,3001,18492.0,1122.0
"2020-04-20","United Kingdom","England",102522,3086,17370.0,539.0
"2020-04-19","United Kingdom","England",99436,2085,16831.0,384.0
"2020-04-18","United Kingdom","England",97351,2581,16447.0,1011.0
"2020-04-17","United Kingdom","England",94770,3436,15436.0,826.0
"2020-04-16","United Kingdom","England",91334,3450,14610.0,907.0
"2020-04-15","United Kingdom","England",87884,3630,13703.0,732.0
"2020-04-14","United Kingdom","England",84254,3441,12971.0,1010.0
"2020-04-13","United Kingdom","England",80813,3335,11961.0,694.0
"2020-04-12","United Kingdom","England",77478,2693,11267.0,606.0
"2020-04-11","United Kingdom","England",74785,2997,10661.0,745.0
"2020-04-10","United Kingdom","England",71788,3530,9916.0,1038.0
"2020-04-09","United Kingdom","England",68258,4022,8878.0,987.0
"2020-04-08","United Kingdom","England",64236,4257,7891.0,924.0
"2020-04-07","United Kingdom","England",59979,4501,6967.0,1010.0
"2020-04-06","United Kingdom","England",55478,4337,5957.0,532.0
"2020-04-05","United Kingdom","England",51141,3026,5425.0,578.0
"2020-04-04","United Kingdom","England",48115,3320,4847.0,689.0
"2020-04-03","United Kingdom","England",44795,4041,4158.0,655.0
"2020-04-02","United Kingdom","England",40754,4007,3503.0,603.0
"2020-04-01","United Kingdom","England",36747,4084,2900.0,613.0
"2020-03-31","United Kingdom","England",32663,3753,2287.0,368.0
"2020-03-30","United Kingdom","England",28910,3489,1919.0,353.0
"2020-03-29","United Kingdom","England",25421,2434,1566.0,195.0
"2020-03-28","United Kingdom","England",22987,2370,1371.0,279.0
"2020-03-27","United Kingdom","England",20617,2652,1092.0,272.0
"2020-03-26","United Kingdom","England",17965,2607,820.0,169.0
"2020-03-25","United Kingdom","England",15358,2259,651.0,177.0
"2020-03-24","United Kingdom","England",13099,2016,474.0,143.0
"2020-03-23","United Kingdom","England",11083,2016,331.0,67.0
