Unnamed: 0,TOTAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
CCAA,,IA (14 d.),precisado,ingresado en,Fallecidos,Curados,Nuevos
,confirmados*,,,,,,
,,,hospitalización*,UCI,,,
Andalucía,8.301,"78,15",4.107,474,470,665,432
Aragón,3.232,"204,66",1.588,233,270,537,154
Asturias,1.605,"103,64",808,90,80,216,83
Baleares,1.293,"83,69",664,120,75,461,22
Canarias,1.622,"56,10",644,129,80,137,58
Cantabria,1.441,"199,46",639,62,68,113,57
Castilla La Mancha,10.031,"403,96",2.950¥,357¥,1.055,1.149,707
Castilla y León,8.749,"291,93",2.574¥,351¥,847,2.331,417
Cataluña,26.032,"277,88",18.656,2.249,2.637,9.528,1.298
Ceuta,83,"92,01",9,4,2,2,10
C. Valenciana,7.184,"111,52",1.901¥,381¥,613,812,283
Extremadura,2.047,"155,75",417,66,218,215,68
Galicia,5.944,"186,29",1.831,170¥,174,587,319
Madrid,37.584,"418,44",14.551¥,1.499¥,4.941,16.543,1.335
Melilla,83,"67,06",38,3,2,11,4
Murcia,1.235,"62,86",447,80,59,130,47
Navarra,3.073,"348,36",1.399,123,178,334,101
País Vasco,8.628,"295,82",4.666,404,515,3.405,441
La Rioja,2.592,"611,75",855,66,134,904,187
ESPAÑA,130.759,"217,30",58.744,6.861,12.418,38.080,6.023
