"Date","Country","Total confirmed cases","New cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"2020-03-14","Republic of Korea",8086,107,72,6.0,"Local transmission",0.0
"2020-03-14","Japan",716,41,21,2.0,"Local transmission",0.0
"2020-03-14","Singapore",200,13,0,0.0,"Local transmission",0.0
"2020-03-14","Australia",197,57,3,0.0,"Local transmission",0.0
"2020-03-14","Malaysia",197,68,0,0.0,"Local transmission",0.0
"2020-03-14","Philippines",64,12,2,0.0,"Local transmission",0.0
"2020-03-14","Viet Nam",48,9,0,0.0,"Local transmission",0.0
"2020-03-14","Brunei Darussalam",25,13,0,0.0,"Local transmission",0.0
"2020-03-14","Cambodia",7,2,0,0.0,"Local transmission",0.0
"2020-03-14","New Zealand",6,1,0,0.0,"Local transmission",0.0
"2020-03-14","Mongolia",1,0,0,0.0,"Imported cases only",4.0
"2020-03-14","French Polynesia",1,0,0,0.0,"Imported cases only",2.0
"2020-03-14","Italy",17660,2547,1268,252.0,"Local transmission",0.0
"2020-03-14","Spain",4231,1266,120,36.0,"Local transmission",0.0
"2020-03-14","France",3640,780,79,18.0,"Local transmission",0.0
"2020-03-14","Germany",3062,693,6,0.0,"Local transmission",0.0
"2020-03-14","Switzerland",1125,267,6,0.0,"Local transmission",0.0
"2020-03-14","Netherlands",804,190,10,5.0,"Local transmission",0.0
"2020-03-14","The United Kingdom",802,208,10,2.0,"Local transmission",0.0
"2020-03-14","Denmark",801,127,0,0.0,"Local transmission",0.0
"2020-03-14","Sweden",775,155,0,0.0,"Local transmission",0.0
"2020-03-14","Norway",750,261,1,1.0,"Local transmission",0.0
"2020-03-14","Belgium",599,285,0,0.0,"Local transmission",0.0
"2020-03-14","Austria",504,143,1,0.0,"Local transmission",0.0
"2020-03-14","Czechia",150,34,0,0.0,"Local transmission",0.0
"2020-03-14","Slovenia",141,84,0,0.0,"Local transmission",0.0
"2020-03-14","Portugal",112,71,0,0.0,"Local transmission",0.0
"2020-03-14","Finland",109,0,0,0.0,"Local transmission",1.0
"2020-03-14","Israel",100,25,0,0.0,"Local transmission",0.0
"2020-03-14","Greece",98,0,1,0.0,"Local transmission",2.0
"2020-03-14","Ireland",90,20,1,0.0,"Local transmission",0.0
"2020-03-14","Estonia",79,66,0,0.0,"Local transmission",0.0
"2020-03-14","San Marino",66,3,2,0.0,"Local transmission",0.0
"2020-03-14","Romania",64,16,0,0.0,"Local transmission",0.0
"2020-03-14","Poland",64,15,1,0.0,"Local transmission",0.0
"2020-03-14","Iceland",61,0,0,0.0,"Local transmission",4.0
