"Date","Country","Total confirmed cases","New cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"2020-03-12","Republic of Korea",7869,114,66,6,"Local transmission",0
"2020-03-12","Japan",620,52,15,3,"Local transmission",0
"2020-03-12","Singapore",178,12,0,0,"Local transmission",0
"2020-03-12","Malaysia",129,0,0,0,"Local transmission",1
"2020-03-12","Australia",122,10,3,0,"Local transmission",0
"2020-03-12","Philippines",52,3,2,1,"Local transmission",0
"2020-03-12","Viet Nam",39,4,0,0,"Local transmission",0
"2020-03-12","Brunei Darussalam",12,11,0,0,"Local transmission",0
"2020-03-12","New Zealand",5,0,0,0,"Local transmission",5
"2020-03-12","Cambodia",3,0,0,0,"Local transmission",1
"2020-03-12","Mongolia",1,0,0,0,"Imported cases only",2
"2020-03-12","French Polynesia",1,1,0,0,"Imported cases only",0
"2020-03-12","Italy",12462,2313,827,196,"Local transmission",0
"2020-03-12","France",2269,495,48,15,"Local transmission",0
"2020-03-12","Spain",2140,501,48,12,"Local transmission",0
"2020-03-12","Germany",1567,271,3,1,"Local transmission",0
"2020-03-12","Switzerland",645,154,4,1,"Local transmission",0
"2020-03-12","Denmark",615,353,0,0,"Local transmission",0
"2020-03-12","Netherlands",503,121,5,1,"Local transmission",0
"2020-03-12","Sweden",461,135,0,0,"Local transmission",0
"2020-03-12","The United Kingdom",460,87,6,0,"Local transmission",0
"2020-03-12","Belgium",314,47,0,0,"Local transmission",0
"2020-03-12","Austria",302,120,0,0,"Local transmission",0
"2020-03-12","Norway",489,212,0,0,"Local transmission",0
"2020-03-12","Greece",98,9,1,1,"Local transmission",0
"2020-03-12","Czechia",94,33,0,0,"Local transmission",0
"2020-03-12","Israel",75,0,0,0,"Local transmission",1
"2020-03-12","San Marino",63,0,2,0,"Local transmission",1
"2020-03-12","Iceland",61,0,0,0,"Local transmission",2
"2020-03-12","Slovenia",57,26,0,0,"Local transmission",0
"2020-03-12","Romania",48,23,0,0,"Local transmission",0
"2020-03-12","Poland",44,22,0,0,"Local transmission",0
"2020-03-12","Ireland",43,9,1,1,"Local transmission",0
"2020-03-12","Portugal",41,0,0,0,"Local transmission",1
