"Date","Country","Total confirmed cases","New cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"2020-03-19","China",81174,58,3242,11,"Local transmission",0
"2020-03-19","Republic of Korea",8413,93,84,3,"Local transmission",0
"2020-03-19","Japan",873,44,29,1,"Local transmission",0
"2020-03-19","Malaysia",673,120,2,2,"Local transmission",0
"2020-03-19","Australia",510,96,6,1,"Local transmission",0
"2020-03-19","Singapore",313,47,0,0,"Local transmission",0
"2020-03-19","Philippines",187,0,14,2,"Local transmission",1
"2020-03-19","Viet Nam",66,5,0,0,"Local transmission",0
"2020-03-19","Brunei Darussalam",56,2,0,0,"Local transmission",0
"2020-03-19","Cambodia",35,11,0,0,"Local transmission",0
"2020-03-19","New Zealand",20,9,0,0,"Local transmission",0
"2020-03-19","Mongolia",5,1,0,0,"Imported cases only",0
"2020-03-19","Guam",5,2,0,0,"Local transmission",0
"2020-03-19","French Polynesia",3,0,0,0,"Imported cases only",3
"2020-03-19","Italy",35713,4207,2978,473,"Local transmission",0
"2020-03-19","Spain",13716,2538,598,107,"Local transmission",0
"2020-03-19","France",9043,0,244,0,"Local transmission",1
"2020-03-19","Germany",8198,1042,13,0,"Local transmission",0
"2020-03-19","Switzerland",3010,353,21,2,"Local transmission",0
"2020-03-19","The United Kingdom",2630,672,103,0,"Local transmission",0
"2020-03-19","Netherlands",2051,0,58,0,"Local transmission",1
"2020-03-19","Austria",1646,314,4,1,"Local transmission",0
"2020-03-19","Belgium",1486,0,14,0,"Local transmission",1
"2020-03-19","Norway",1423,115,3,0,"Local transmission",0
"2020-03-19","Sweden",1279,112,3,0,"Local transmission",0
"2020-03-19","Denmark",1044,67,4,0,"Local transmission",0
"2020-03-19","Portugal",642,194,2,1,"Local transmission",0
"2020-03-19","Czechia",522,30,0,0,"Local transmission",0
"2020-03-19","Israel",427,0,0,0,"Local transmission",2
"2020-03-19","Greece",418,0,5,0,"Local transmission",1
"2020-03-19","Finland",359,40,0,0,"Local transmission",0
"2020-03-19","Ireland",292,0,2,0,"Local transmission",1
"2020-03-19","Poland",287,0,5,0,"Local transmission",1
"2020-03-19","Slovenia",286,0,1,0,"Local transmission",1
"2020-03-19","Estonia",258,33,0,0,"Local transmission",0
"2020-03-19","Iceland",250,25,0,0,"Local transmission",0
"2020-03-19","Romania",246,62,0,0,"Local transmission",0
"2020-03-19","Luxembourg",210,63,2,1,"Local transmission",0
"2020-03-19","Turkey",191,51,2,1,"Local transmission",0
"2020-03-19","Russian Federation",147,54,0,0,"Imported cases only",0
"2020-03-19","San Marino",109,5,14,3,"Local transmission",0
"2020-03-19","Slovakia",105,8,0,0,"Local transmission",0
"2020-03-19","Serbia",96,11,0,0,"Local transmission",0
"2020-03-19","Bulgaria",92,11,2,0,"Local transmission",0
"2020-03-19","Armenia",84,32,0,0,"Local transmission",0
"2020-03-19","Croatia",81,16,0,0,"Local transmission",0
"2020-03-19","Latvia",71,11,0,0,"Imported cases only",0
"2020-03-19","Albania",59,2,2,1,"Local transmission",0
"2020-03-19","Cyprus",58,25,0,0,"Local transmission",0
"2020-03-19","Hungary",58,8,1,0,"Local transmission",0
"2020-03-19","Malta",48,10,0,0,"Imported cases only",0
"2020-03-19","Belarus",46,10,0,0,"Local transmission",0
"2020-03-19","Georgia",38,4,0,0,"Imported cases only",0
"2020-03-19","Bosnia and Herzegovina",36,7,0,0,"Local transmission",0
"2020-03-19","Kazakhstan",36,3,0,0,"Imported cases only",0
"2020-03-19","North Macedonia",36,5,0,0,"Local transmission",0
"2020-03-19","Republic of Moldova",36,0,0,0,"Local transmission",1
"2020-03-19","Azerbaijan",34,13,1,1,"Imported cases only",0
"2020-03-19","Lithuania",26,1,0,0,"Imported cases only",0
"2020-03-19","Liechtenstein",25,18,0,0,"Imported cases only",0
"2020-03-19","Ukraine",16,7,2,0,"Local transmission",0
"2020-03-19","Uzbekistan",16,0,0,0,"Imported cases only",1
"2020-03-19","Monaco",9,0,0,0,"Under investigation",2
"2020-03-19","Kyrgyzstan",3,3,0,0,"Under investigation",0
"2020-03-19","Montenegro",2,0,0,0,"Imported cases only",1
"2020-03-19","Holy See",1,0,0,0,"Under investigation",12
"2020-03-19","Faroe Islands",58,11,0,0,"Imported cases only",0
"2020-03-19","Andorra",39,23,0,0,"Imported cases only",0
"2020-03-19","Gibraltar",8,5,0,0,"Under investigation",0
"2020-03-19","Jersey",5,0,0,0,"Imported cases only",1
"2020-03-19","Greenland",2,0,0,0,"Under investigation",1
"2020-03-19","Guernsey",1,0,0,0,"Imported cases only",9
"2020-03-19","Indonesia",227,55,19,14,"Local transmission",0
"2020-03-19","Thailand",212,35,1,0,"Local transmission",0
"2020-03-19","India",151,14,3,0,"Local transmission",0
"2020-03-19","Sri Lanka",42,13,0,0,"Local transmission",0
"2020-03-19","Maldives",13,0,0,0,"Local transmission",3
"2020-03-19","Bangladesh",10,2,0,0,"Local transmission",0
"2020-03-19","Bhutan",1,0,0,0,"Imported cases only",12
"2020-03-19","Nepal",1,0,0,0,"Imported cases only",55
"2020-03-19","Iran (Islamic Republic of)",17361,1192,1135,147,"Local transmission",0
"2020-03-19","Qatar",442,0,0,0,"Local transmission",1
"2020-03-19","Bahrain",256,5,1,0,"Local transmission",0
"2020-03-19","Pakistan",241,54,0,0,"Imported cases only",0
"2020-03-19","Saudi Arabia",238,67,0,0,"Local transmission",0
"2020-03-19","Egypt",196,30,6,2,"Local transmission",0
