"Date","Country","Total confirmed cases","New cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"2020-03-17","China",81116,39,3231,13,"Local transmission",0
"2020-03-17","Republic of Korea",8320,84,81,6,"Local transmission",0
"2020-03-17","Japan",829,15,28,4,"Local transmission",0
"2020-03-17","Malaysia",553,0,0,0,"Local transmission",1
"2020-03-17","Australia",375,77,5,0,"Local transmission",0
"2020-03-17","Singapore",243,0,0,0,"Local transmission",1
"2020-03-17","Philippines",187,47,12,0,"Local transmission",0
"2020-03-17","Viet Nam",61,4,0,0,"Local transmission",0
"2020-03-17","Brunei Darussalam",50,0,0,0,"Local transmission",1
"2020-03-17","Cambodia",24,12,0,0,"Local transmission",0
"2020-03-17","New Zealand",11,5,0,0,"Local transmission",0
"2020-03-17","Mongolia",4,3,0,0,"Imported cases only",0
"2020-03-17","French Polynesia",3,0,0,0,"Imported cases only",2
"2020-03-17","Guam",3,3,0,0,"Local transmission",0
"2020-03-17","Italy",27980,3233,2503,349,"Local transmission",0
"2020-03-17","Spain",9191,1438,309,21,"Local transmission",0
"2020-03-17","France",6573,1193,148,21,"Local transmission",0
"2020-03-17","Germany",6012,1174,13,1,"Local transmission",0
"2020-03-17","Switzerland",2200,0,14,1,"Local transmission",1
"2020-03-17","The United Kingdom",1547,152,55,20,"Local transmission",0
"2020-03-17","Netherlands",1413,278,24,4,"Local transmission",0
"2020-03-17","Norway",1169,92,3,2,"Local transmission",0
"2020-03-17","Austria",1132,173,3,2,"Local transmission",0
"2020-03-17","Belgium",1085,0,5,0,"Local transmission",1
"2020-03-17","Sweden",1059,67,3,0,"Local transmission",0
"2020-03-17","Denmark",960,62,4,3,"Local transmission",0
"2020-03-17","Czechia",383,85,0,0,"Local transmission",0
"2020-03-17","Greece",331,0,4,0,"Local transmission",1
"2020-03-17","Portugal",331,86,0,0,"Local transmission",0
"2020-03-17","Israel",250,50,0,0,"Local transmission",0
"2020-03-17","Finland",272,5,0,0,"Local transmission",0
"2020-03-17","Slovenia",253,34,0,0,"Local transmission",0
"2020-03-17","Ireland",223,54,2,0,"Local transmission",0
"2020-03-17","Estonia",205,0,0,0,"Local transmission",1
"2020-03-17","Iceland",199,19,0,0,"Local transmission",0
"2020-03-17","Romania",158,0,0,0,"Local transmission",1
"2020-03-17","Poland",150,0,3,0,"Local transmission",1
"2020-03-17","San Marino",102,10,9,4,"Local transmission",0
"2020-03-17","Russian Federation",93,30,0,0,"Imported cases only",0
"2020-03-17","Luxembourg",81,43,1,0,"Local transmission",0
"2020-03-17","Slovakia",72,11,0,0,"Local transmission",0
"2020-03-17","Bulgaria",67,16,2,0,"Local transmission",0
"2020-03-17","Serbia",70,24,0,0,"Local transmission",0
"2020-03-17","Croatia",56,7,0,0,"Local transmission",0
"2020-03-17","Armenia",52,26,0,0,"Local transmission",0
"2020-03-17","Albania",51,9,10,0,"Local transmission",0
"2020-03-17","Hungary",50,11,10,0,"Local transmission",0
"2020-03-17","Turkey",47,42,0,0,"Imported cases only",0
"2020-03-17","Belarus",36,0,0,0,"Local transmission",1
"2020-03-17","Latvia",36,5,0,0,"Imported cases only",0
"2020-03-17","Cyprus",33,0,0,0,"Imported cases only",1
"2020-03-17","Georgia",33,0,0,0,"Imported cases only",1
"2020-03-17","Malta",30,9,0,0,"Imported cases only",0
"2020-03-17","Republic of Moldova",29,6,0,0,"Local transmission",0
"2020-03-17","Azerbaijan",19,0,0,0,"Imported cases only",2
"2020-03-17","Bosnia and Herzegovina",19,0,0,0,"Local transmission",1
"2020-03-17","North Macedonia",19,6,0,0,"Local transmission",0
"2020-03-17","Lithuania",17,3,0,0,"Imported cases only",0
"2020-03-17","Andorra",14,12,0,0,"Imported cases only",0
"2020-03-17","Monaco",9,0,0,0,"Under investigation",1
"2020-03-17","Liechtenstein",7,0,0,0,"Imported cases only",1
"2020-03-17","Ukraine",7,4,10,0,"Local transmission",0
"2020-03-17","Kazakhstan",6,0,0,0,"Imported cases only",2
"2020-03-17","Uzbekistan",4,0,0,0,"Under investigation",1
"2020-03-17","Holy See",1,0,0,0,"Under investigation",11
"2020-03-17","Faroe Islands",47,36,0,0,"Imported cases only",0
"2020-03-17","Gibraltar",3,2,0,0,"Under investigation",0
"2020-03-17","Jersey",2,0,0,0,"Imported cases only",4
