"Date","Country","Total confirmed cases","Total confirmed new cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"20200303","Sri Lanka",1,0,0,0,"Imported cases only",36
"20200303","Iran (Islamic Republic of)",1501,523,66,12,"Local transmission",0
"20200303","Kuwait",56,0,0,0,"Imported cases only",1
"20200303","Bahrain",49,2,0,0,"Imported cases only",0
"20200303","Iraq",26,7,0,0,"Imported cases only",0
"20200303","United Arab Emirates",21,0,0,0,"Local transmission",1
"20200303","Lebanon",13,3,0,0,"Local transmission",0
"20200303","Qatar",7,4,0,0,"Imported cases only",0
"20200303","Oman",6,0,0,0,"Imported cases only",4
"20200303","Pakistan",5,1,0,0,"Imported cases only",0
"20200303","Egypt",2,0,0,0,"Imported cases only",0
"20200303","Afghanistan",1,0,0,0,"Imported cases only",8
"20200303","Jordan",1,1,0,0,"Imported cases only",0
"20200303","Morocco",1,1,0,0,"Imported cases only",0
"20200303","Saudi Arabia",1,1,0,0,"Imported cases only",0
"20200303","Tunisia",1,1,0,0,"Imported cases only",0
"20200303","the United States",64,2,2,2,"Local transmission",0
"20200303","Canada",27,8,0,0,"Local transmission",0
"20200303","Ecuador",6,5,0,0,"Local transmission",0
"20200303","Mexico",5,0,0,0,"Imported cases only",1
"20200303","Brazil",2,0,0,0,"Imported cases only",2
"20200303","Dominican Republic",1,0,0,0,"Imported cases only",1
"20200303","Algeria",5,4,0,0,"Local transmission",0
"20200303","Nigeria",1,0,0,0,"Imported cases only",4
"20200303","Senegal",1,1,0,0,"Imported cases only",0
"20200303","Diamond Princess",706,0,6,0,"Local transmission",1
"20200304","Republic of Korea",5328,516,32,4,"Local transmission",0
"20200304","Japan",284,16,6,0,"Local transmission",0
"20200304","Singapore",110,2,0,0,"Local transmission",0
"20200304","Malaysia",50,21,0,0,"Local transmission",0
"20200304","Australia",43,10,1,0,"Local transmission",0
"20200304","Viet Nam",16,0,0,0,"Local transmission",20
"20200304","Philippines",3,0,1,0,"Imported cases only",28
"20200304","New Zealand",2,0,0,0,"Imported cases only",1
"20200304","Cambodia",1,0,0,0,"Imported cases only",36
"20200304","Italy",2502,466,80,28,"Local transmission",0
"20200304","France",212,21,4,1,"Local transmission",0
"20200304","Germany",196,39,0,0,"Local transmission",0
"20200304","Spain",151,37,0,0,"Local transmission",0
"20200304","the United Kingdom",51,12,0,0,"Local transmission",0
"20200304","Switzerland",37,7,0,0,"Local transmission",0
"20200304","Norway",33,7,0,0,"Local transmission",0
"20200304","Netherlands",28,10,0,0,"Local transmission",0
"20200304","Austria",24,6,0,0,"Imported cases only",0
"20200304","Sweden",24,9,0,0,"Local transmission",0
"20200304","Iceland",16,7,0,0,"Imported cases only",0
"20200304","Israel",12,2,0,0,"Local transmission",0
"20200304","Croatia",9,1,0,0,"Local transmission",0
"20200304","Belgium",8,0,0,0,"Imported cases only",1
"20200304","Denmark",8,3,0,0,"Local transmission",0
"20200304","San Marino",8,0,0,0,"Local transmission",1
"20200304","Finland",7,0,0,0,"Local transmission",1
"20200304","Greece",7,0,0,0,"Local transmission",2
"20200304","Czechia",5,2,0,0,"Imported cases only",0
"20200304","Romania",4,1,0,0,"Local transmission",0
"20200304","Azerbaijan",3,0,0,0,"Imported cases only",3
"20200304","Georgia",3,0,0,0,"Imported cases only",3
"20200304","Russian Federation",3,0,0,0,"Imported cases only",1
"20200304","Estonia",2,1,0,0,"Imported cases only",0
"20200304","Ireland",2,1,0,0,"Imported cases only",0
"20200304","Portugal",2,0,0,0,"Imported cases only",1
"20200304","Andorra",1,0,0,0,"Imported cases only",1
"20200304","Armenia",1,0,0,0,"Imported cases only",2
"20200304","Belarus",1,0,0,0,"Imported cases only",5
"20200304","Latvia",1,0,0,0,"Imported cases only",1
"20200304","Lithuania",1,0,0,0,"Imported cases only",5
"20200304","Luxembourg",1,0,0,0,"Imported cases only",2
"20200304","Monaco",1,0,0,0,"Under investigation",3
"20200304","North Macedonia",1,0,0,0,"Imported cases only",6
"20200304","Poland",1,1,0,0,"Imported cases only",0
"20200304","Ukraine",1,1,0,0,"Imported cases only",0
"20200304","Thailand",43,0,1,0,"Local transmission",1
"20200304","India",6,1,0,0,"Imported cases only",0
"20200304","Indonesia",2,0,0,0,"Local transmission",2
"20200304","Nepal",1,0,0,0,"Imported cases only",40
"20200304","Sri Lanka",1,0,0,0,"Imported cases only",37
"20200304","Iran (Islamic Republic of)",2336,835,77,11,"Local transmission",0
"20200304","Kuwait",56,0,0,0,"Imported cases only",2
"20200304","Bahrain",49,0,0,0,"Imported cases only",1
"20200304","Iraq",31,5,0,0,"Imported cases only",0
"20200304","United Arab Emirates",27,6,0,0,"Local transmission",0
"20200304","Lebanon",13,0,0,0,"Local transmission",1
"20200304","Oman",12,6,0,0,"Imported cases only",0
"20200304","Qatar",8,1,0,0,"Imported cases only",0
"20200304","Pakistan",5,0,0,0,"Imported cases only",1
"20200304","Egypt",2,0,0,0,"Imported cases only",2
"20200304","Afghanistan",1,0,0,0,"Imported cases only",8
"20200304","Jordan",1,0,0,0,"Imported cases only",1
"20200304","Morocco",1,0,0,0,"Imported cases only",1
"20200304","Saudi Arabia",1,0,0,0,"Imported cases only",1
"20200304","Tunisia",1,0,0,0,"Imported cases only",1
"20200304","the United States",108,44,6,4,"Local transmission",0
"20200304","Canada",30,3,0,0,"Local transmission",0
"20200304","Ecuador",7,1,0,0,"Local transmission",0
"20200304","Mexico",5,0,0,0,"Imported cases only",2
"20200304","Brazil",2,0,0,0,"Imported cases only",3
"20200304","Argentina",1,1,0,0,"Imported cases only",0
"20200304","Chile",1,1,0,0,"Imported cases only",0
"20200304","Dominican Republic",1,0,0,0,"Imported cases only",2
"20200304","Algeria",5,0,0,0,"Local transmission",1
"20200304","Nigeria",1,0,0,0,"Imported cases only",5
"20200304","Senegal",1,0,0,0,"Imported cases only",1
"20200304","Diamond Princess",706,0,6,0,"Local transmission",2
"20200305","Republic of Korea",5766,438,35,3,"Local transmission",0
"20200305","Japan",317,33,6,0,"Local transmission",0
"20200305","Singapore",110,0,0,0,"Local transmission",1
"20200305","Australia",57,14,2,2,"Local transmission",0
"20200305","Malaysia",50,0,0,0,"Local transmission",1
"20200305","Viet Nam",16,0,0,0,"Local transmission",21
"20200305","Philippines",3,0,1,0,"Imported cases only",29
"20200305","New Zealand",2,0,0,0,"Imported cases only",2
"20200305","Cambodia",1,0,0,0,"Imported cases only",37
"20200305","Italy",3089,587,107,27,"Local transmission",0
"20200305","France",282,73,4,0,"Local transmission",0
"20200305","Germany",262,66,0,0,"Local transmission",0
"20200305","Spain",198,47,1,1,"Local transmission",0
"20200305","the United Kingdom",89,38,0,0,"Local transmission",0
"20200305","Switzerland",56,20,0,0,"Local transmission",0
"20200305","Norway",56,23,0,0,"Local transmission",0
"20200305","Netherlands",38,10,0,0,"Local transmission",0
"20200305","Austria",37,13,0,0,"Imported cases only",0
"20200305","Sweden",35,11,0,0,"Local transmission",0
"20200305","Iceland",26,10,0,0,"Imported cases only",0
"20200305","Belgium",23,15,0,0,"Local transmission",0
"20200305","San Marino",16,8,0,0,"Local transmission",0
"20200305","Israel",15,3,0,0,"Local transmission",0
"20200305","Denmark",10,2,0,0,"Local transmission",0
"20200305","Croatia",9,0,0,0,"Local transmission",1
"20200305","Greece",9,2,0,0,"Local transmission",0
"20200305","Finland",7,0,0,0,"Local transmission",2
"20200305","Portugal",7,5,0,0,"Local transmission",0
"20200305","Belarus",6,5,0,0,"Local transmission",0
"20200305","Czechia",5,0,0,0,"Imported cases only",1
"20200305","Romania",4,0,0,0,"Local transmission",1
"20200305","Azerbaijan",3,0,0,0,"Imported cases only",4
"20200305","Georgia",3,0,0,0,"Imported cases only",4
"20200305","Russian Federation",3,0,0,0,"Imported cases only",2
"20200305","Bosnia and Herzegovina",2,2,0,0,"Local transmission",0
"20200305","Estonia",2,0,0,0,"Imported cases only",1
"20200305","Hungary",2,2,0,0,"Imported cases only",0
"20200305","Ireland",2,0,0,0,"Imported cases only",1
"20200305","Andorra",1,0,0,0,"Imported cases only",2
"20200305","Armenia",1,0,0,0,"Imported cases only",3
"20200305","Latvia",1,0,0,0,"Imported cases only",2
"20200305","Lithuania",1,0,0,0,"Imported cases only",6
"20200305","Luxembourg",1,0,0,0,"Imported cases only",3
"20200305","Monaco",1,0,0,0,"Under investigation",4
"20200305","North Macedonia",1,0,0,0,"Imported cases only",7
"20200305","Poland",1,0,0,0,"Imported cases only",1
"20200305","Slovenia",1,1,0,0,"Imported cases only",0
"20200305","Ukraine",1,0,0,0,"Imported cases only",1
"20200305","Liechtenstein",1,0,0,0,"Imported cases only",1
"20200305","Gibraltar",1,0,0,0,"Imported cases only",1
"20200305","Thailand",47,4,1,0,"Local transmission",0
"20200305","India",29,23,0,0,"Local transmission",0
"20200305","Indonesia",2,0,0,0,"Local transmission",3
"20200305","Nepal",1,0,0,0,"Imported cases only",41
"20200305","Sri Lanka",1,0,0,0,"Imported cases only",38
"20200305","Iran (Islamic Republic of)",2922,586,92,15,"Local transmission",0
"20200305","Kuwait",58,2,0,0,"Imported cases only",0
"20200305","Bahrain",49,0,0,0,"Imported cases only",2
"20200305","Iraq",36,5,2,2,"Imported cases only",0
"20200305","United Arab Emirates",27,0,0,0,"Local transmission",1
"20200305","Oman",15,3,0,0,"Imported cases only",0
"20200305","Lebanon",13,0,0,0,"Local transmission",2
"20200305","Qatar",8,0,0,0,"Imported cases only",1
"20200305","Pakistan",5,0,0,0,"Imported cases only",2
"20200305","Egypt",2,0,0,0,"Imported cases only",3
"20200305","Morocco",2,1,0,0,"Imported cases only",0
"20200305","Saudi Arabia",2,1,0,0,"Imported cases only",0
"20200305","Afghanistan",1,0,0,0,"Imported cases only",9
"20200305","Jordan",1,0,0,0,"Imported cases only",2
"20200305","Tunisia",1,0,0,0,"Imported cases only",2
"20200305","occupied Palestinian territory",4,4,0,0,"Imported cases only",0
"20200305","the United States",129,21,9,3,"Local transmission",0
"20200305","Canada",30,0,0,0,"Local transmission",1
"20200305","Ecuador",7,0,0,0,"Local transmission",1
"20200305","Mexico",5,0,0,0,"Imported cases only",3
"20200305","Brazil",3,1,0,0,"Imported cases only",0
"20200305","Argentina",1,0,0,0,"Imported cases only",1
"20200305","Chile",1,0,0,0,"Imported cases only",1
"20200305","Dominican Republic",1,0,0,0,"Imported cases only",3
"20200305","Saint Martin",2,0,0,0,"Under investigation",2
"20200305","Saint Barthélemy",1,0,0,0,"Under investigation",2
"20200305","Algeria",12,7,0,0,"Local transmission",0
"20200305","Senegal",4,3,0,0,"Imported cases only",0
"20200305","Nigeria",1,0,0,0,"Imported cases only",6
"20200305","Diamond Princess",706,0,6,0,"Local transmission",3
"20200306","Republic of Korea",6284,518,42,7,"Local transmission",0
"20200306","Japan",349,32,6,0,"Local transmission",0
"20200306","Singapore",117,7,0,0,"Local transmission",0
"20200306","Australia",57,0,2,0,"Local transmission",1
"20200306","Malaysia",55,5,0,0,"Local transmission",0
"20200306","Viet Nam",16,0,0,0,"Local transmission",22
"20200306","Philippines",5,2,1,0,"Local transmission",0
"20200306","New Zealand",4,2,0,0,"Local transmission",0
"20200306","Cambodia",1,0,0,0,"Imported cases only",38
"20200306","Italy",3858,769,148,41,"Local transmission",0
"20200306","Germany",534,272,0,0,"Local transmission",0
"20200306","France",420,138,6,2,"Local transmission",0
"20200306","Spain",257,59,3,2,"Local transmission",0
"20200306","The United Kingdom",118,29,0,0,"Local transmission",0
"20200306","Norway",86,30,0,0,"Local transmission",0
"20200306","Switzerland",86,30,1,1,"Local transmission",0
"20200306","Netherlands",82,44,0,0,"Local transmission",0
"20200306","Sweden",61,26,0,0,"Local transmission",0
"20200306","Belgium",50,27,0,0,"Local transmission",1
"20200306","Austria",47,10,0,0,"Imported cases only",0
"20200306","Greece",32,23,0,0,"Local transmission",1
"20200306","Iceland",26,0,0,0,"Imported cases only",1
"20200306","San Marino",21,5,0,0,"Local transmission",0
"20200306","Denmark",18,8,0,0,"Local transmission",1
"20200306","Israel",15,0,0,0,"Local transmission",1
"20200306","Ireland",14,12,0,0,"Local transmission",0
"20200306","Czechia",12,7,0,0,"Local transmission",0
"20200306","Finland",12,5,0,0,"Local transmission",0
"20200306","Croatia",10,1,0,0,"Local transmission",0
"20200306","Georgia",9,6,0,0,"Imported cases only",0
"20200306","Portugal",9,0,0,0,"Local transmission",1
"20200306","Belarus",6,0,0,0,"Local transmission",1
"20200306","Romania",6,2,0,0,"Local transmission",0
"20200306","Slovenia",6,5,0,0,"Local transmission",0
"20200306","Russian Federation",4,1,0,0,"Imported cases only",0
"20200306","Azerbaijan",3,0,0,0,"Imported cases only",5
"20200306","Estonia",3,1,0,0,"Imported cases only",0
"20200306","Bosnia and Herzegovina",2,0,0,0,"Local transmission",1
"20200306","Hungary",2,0,0,0,"Imported cases only",1
"20200306","Andorra",1,0,0,0,"Imported cases only",3
"20200306","Armenia",1,0,0,0,"Imported cases only",4
"20200306","Latvia",1,0,0,0,"Imported cases only",3
"20200306","Liechtenstein",1,0,0,0,"Imported cases only",0
"20200306","Lithuania",1,0,0,0,"Imported cases only",7
"20200306","Luxembourg",1,0,0,0,"Imported cases only",4
"20200306","Monaco",1,0,0,0,"Under investigation",5
"20200306","North Macedonia",1,0,0,0,"Imported cases only",8
"20200306","Poland",1,0,0,0,"Imported cases only",2
"20200306","Serbia",1,1,0,0,"Under investigation",0
"20200306","Ukraine",1,0,0,0,"Imported cases only",2
"20200306","Gibraltar",1,0,0,0,"Under investigation",2
"20200306","Thailand",47,0,1,0,"Local transmission",1
"20200306","India",30,1,0,0,"Local transmission",0
"20200306","Indonesia",2,0,0,0,"Local transmission",4
"20200306","Bhutan",1,1,0,0,"Imported cases only",0
"20200306","Nepal",1,0,0,0,"Imported cases only",42
"20200306","Sri Lanka",1,0,0,0,"Imported cases only",39
"20200306","Iran (Islamic Republic of)",3513,591,107,15,"Local transmission",0
"20200306","Kuwait",58,0,0,0,"Imported cases only",1
"20200306","Bahrain",49,0,0,0,"Imported cases only",3
"20200306","Iraq",36,0,2,0,"Imported cases only",1
"20200306","United Arab Emirates",27,0,0,0,"Local transmission",2
"20200306","Lebanon",16,3,0,0,"Local transmission",0
"20200306","Oman",16,1,0,0,"Imported cases only",0
"20200306","Qatar",8,0,0,0,"Imported cases only",2
"20200306","Saudi Arabia",8,6,0,0,"Imported cases only",0
"20200306","Pakistan",5,0,0,0,"Imported cases only",3
"20200306","Egypt",3,1,0,0,"Imported cases only",0
"20200306","Morocco",2,0,0,0,"Imported cases only",1
"20200306","Afghanistan",1,0,0,0,"Imported cases only",11
"20200306","Jordan",1,0,0,0,"Imported cases only",3
"20200306","Tunisia",1,0,0,0,"Imported cases only",3
"20200306","Occupied Palestinian Territory",7,0,0,0,"Imported cases only",1
"20200306","United States of America",148,19,10,1,"Local transmission",0
"20200306","Canada",45,15,0,0,"Local transmission",0
"20200306","Ecuador",13,6,0,0,"Local transmission",0
"20200306","Brazil",7,4,0,0,"Imported cases only",0
"20200306","Mexico",5,0,0,0,"Imported cases only",4
"20200306","Argentina",1,0,0,0,"Imported cases only",2
"20200306","Chile",1,0,0,0,"Imported cases only",2
"20200306","Dominican Republic",1,0,0,0,"Imported cases only",4
"20200306","Saint Martin",2,0,0,0,"Under investigation",3
"20200306","Saint Barthélemy",1,0,0,0,"Under investigation",3
"20200306","Algeria",12,0,0,0,"Local transmission",1
"20200306","Senegal",4,0,0,0,"Imported cases only",1
"20200306","Cameroon",1,1,0,0,"Imported cases only",0
"20200306","Nigeria",1,0,0,0,"Imported cases only",7
"20200306","South Africa",1,1,0,0,"Imported cases only",0
"20200306","Diamond Princess",696,0,6,0,"Local transmission",0
"20200307","Republic of Korea",6767,483,44,2,"Local transmission",0
"20200307","Japan",408,59,6,0,"Local transmission",0
"20200307","Singapore",130,13,0,0,"Local transmission",0
"20200307","Malaysia",83,28,0,0,"Local transmission",1
"20200307","Australia",62,5,2,0,"Local transmission",0
"20200307","Viet Nam",17,1,0,0,"Local transmission",0
"20200307","New Zealand",5,1,0,0,"Local transmission",0
"20200307","Philippines",5,0,1,0,"Local transmission",1
"20200307","Cambodia",1,0,0,0,"Imported cases only",39
"20200307","Italy",4636,778,197,49,"Local transmission",0
"20200307","Germany",639,105,0,0,"Local transmission",0
"20200307","France",613,193,9,3,"Local transmission",0
"20200307","Spain",374,117,5,2,"Local transmission",0
"20200307","Switzerland",209,123,1,0,"Local transmission",0
"20200307","The United Kingdom",167,49,1,1,"Local transmission",0
"20200307","Sweden",137,76,0,0,"Local transmission",0
"20200307","Netherlands",128,46,1,1,"Local transmission",0
"20200307","Norway",113,27,0,0,"Local transmission",0
"20200307","Belgium",109,59,0,0,"Local transmission",0
"20200307","Austria",66,19,0,0,"Imported cases only",0
"20200307","Iceland",45,19,0,0,"Local transmission",0
"20200307","Greece",32,0,0,0,"Local transmission",2
"20200307","San Marino",24,3,0,0,"Local transmission",0
"20200307","Denmark",23,5,0,0,"Local transmission",0
"20200307","Finland",19,7,0,0,"Local transmission",0
"20200307","Israel",19,4,0,0,"Local transmission",0
"20200307","Ireland",18,4,0,0,"Local transmission",0
"20200307","Portugal",13,4,0,0,"Local transmission",0
"20200307","Czechia",12,0,0,0,"Local transmission",1
"20200307","Croatia",11,1,0,0,"Local transmission",0
"20200307","Estonia",10,7,0,0,"Imported cases only",0
"20200307","Azerbaijan",9,6,0,0,"Imported cases only",0
"20200307","Georgia",9,0,0,0,"Imported cases only",1
"20200307","Slovenia",9,3,0,0,"Local transmission",0
"20200307","Romania",7,1,0,0,"Local transmission",0
"20200307","Russian Federation",7,3,0,0,"Imported cases only",0
"20200307","Belarus",6,0,0,0,"Local transmission",2
"20200307","Poland",5,4,0,0,"Imported cases only",0
"20200307","Hungary",5,3,0,0,"Imported cases only",0
"20200307","North Macedonia",3,2,0,0,"Imported cases only",0
"20200307","Bosnia and Herzegovina",2,0,0,0,"Local transmission",2
"20200307","Luxembourg",2,1,0,0,"Imported cases only",0
"20200307","Andorra",1,0,0,0,"Imported cases only",4
"20200307","Armenia",1,0,0,0,"Imported cases only",5
"20200307","Holy See",1,1,0,0,"Under investigation",1
"20200307","Latvia",1,0,0,0,"Imported cases only",4
"20200307","Liechtenstein",1,0,0,0,"Imported cases only",1
"20200307","Lithuania",1,0,0,0,"Imported cases only",8
"20200307","Monaco",1,0,0,0,"Under investigation",6
"20200307","Serbia",1,0,0,0,"Under investigation",1
"20200307","Slovakia",1,1,0,0,"Local transmission",0
"20200307","Ukraine",1,0,0,0,"Imported cases only",3
"20200307","Gibraltar",1,0,0,0,"Under investigation",3
"20200307","Thailand",48,1,1,0,"Local transmission",0
"20200307","India",31,1,0,0,"Local transmission",0
"20200307","Indonesia",2,0,0,0,"Local transmission",5
"20200307","Bhutan",1,0,0,0,"Imported cases only",1
"20200307","Nepal",1,0,0,0,"Imported cases only",43
"20200307","Sri Lanka",1,0,0,0,"Imported cases only",40
"20200307","Iran (Islamic Republic of)",4747,1234,124,17,"Local transmission",0
"20200307","Kuwait",58,0,0,0,"Imported cases only",2
"20200307","Bahrain",49,0,0,0,"Imported cases only",4
"20200307","United Arab Emirates",45,18,0,0,"Local transmission",0
"20200307","Iraq",44,8,4,2,"Imported cases only",0
"20200307","Lebanon",22,6,0,0,"Local transmission",0
"20200307","Oman",16,0,0,0,"Imported cases only",1
"20200307","Qatar",11,3,0,0,"Imported cases only",0
"20200307","Saudi Arabia",8,0,0,0,"Imported cases only",1
"20200307","Pakistan",5,0,0,0,"Imported cases only",4
"20200307","Egypt",3,0,0,0,"Imported cases only",1
"20200307","Morocco",2,0,0,0,"Imported cases only",2
"20200307","Afghanistan",1,0,0,0,"Imported cases only",12
"20200307","Jordan",1,0,0,0,"Imported cases only",4
"20200307","Tunisia",1,0,0,0,"Imported cases only",4
"20200307","Occupied Palestinian Territory",16,9,0,0,"Local transmission",0
"20200307","United States of America",213,65,11,1,"Local transmission",0
"20200307","Canada",51,6,0,0,"Local transmission",0
"20200307","Ecuador",14,1,0,0,"Local transmission",0
"20200307","Brazil",13,6,0,0,"Local transmission",0
"20200307","Chile",5,4,0,0,"Imported cases only",0
"20200307","Mexico",5,0,0,0,"Imported cases only",5
"20200307","Argentina",2,1,0,0,"Imported cases only",0
