"Date","Country","Total confirmed cases","New cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"2020-03-02","Republic of Korea",4212,476,22,4,"Local transmission",0
"2020-03-02","Japan",254,15,6,1,"Local transmission",0
"2020-03-02","Singapore",106,4,0,0,"Local transmission",0
"2020-03-02","Australia",27,2,1,1,"Local transmission",0
"2020-03-02","Malaysia",24,0,0,0,"Local transmission",3
"2020-03-02","Viet Nam",16,0,0,0,"Local transmission",18
"2020-03-02","Philippines",3,0,1,0,"Imported cases only",27
"2020-03-02","Cambodia",1,0,0,0,"Imported cases only",35
"2020-03-02","New Zealand",1,0,0,0,"Imported cases only",3
"2020-03-02","Italy",1689,561,35,6,"Local transmission",0
"2020-03-02","Germany",129,72,0,0,"Local transmission",0
"2020-03-02","France",100,0,2,0,"Local transmission",1
"2020-03-02","Spain",45,0,0,0,"Local transmission",1
"2020-03-02","the United Kingdom",36,13,0,0,"Local transmission",0
"2020-03-02","Switzerland",24,6,0,0,"Local transmission",0
"2020-03-02","Norway",19,4,0,0,"Local transmission",0
"2020-03-02","Sweden",14,1,0,0,"Local transmission",0
"2020-03-02","Netherlands",13,6,0,0,"Local transmission",0
"2020-03-02","Austria",10,0,0,0,"Imported cases only",1
"2020-03-02","Croatia",7,0,0,0,"Local transmission",1
"2020-03-02","Greece",7,4,0,0,"Local transmission",0
"2020-03-02","Israel",7,0,0,0,"Local transmission",1
"2020-03-02","Finland",6,4,0,0,"Local transmission",0
"2020-03-02","Denmark",4,1,0,0,"Local transmission",0
"2020-03-02","Azerbaijan",3,0,0,0,"Imported cases only",1
"2020-03-02","Czechia",3,3,0,0,"Imported cases only",0
"2020-03-02","Georgia",3,0,0,0,"Imported cases only",1
"2020-03-02","Romania",3,0,0,0,"Imported cases only",2
"2020-03-02","Iceland",2,2,0,0,"Imported cases only",0
"2020-03-02","Russian Federation",2,0,0,0,"Imported cases only",31
"2020-03-02","Armenia",1,1,0,0,"Imported cases only",0
"2020-03-02","Belarus",1,0,0,0,"Imported cases only",3
"2020-03-02","Belgium",1,0,0,0,"Imported cases only",27
"2020-03-02","Estonia",1,0,0,0,"Imported cases only",4
"2020-03-02","Ireland",1,0,0,0,"Imported cases only",1
"2020-03-02","Lithuania",1,0,0,0,"Imported cases only",3
"2020-03-02","Luxembourg",1,1,0,0,"Imported cases only",0
"2020-03-02","Monaco",1,0,0,0,"Under investigation",1
"2020-03-02","North Macedonia",1,0,0,0,"Imported cases only",5
"2020-03-02","San Marino",1,0,0,0,"Local transmission",2
"2020-03-02","Thailand",42,0,1,1,"Local transmission",2
"2020-03-02","India",3,0,0,0,"Imported cases only",28
"2020-03-02","Indonesia",2,2,0,0,"Local transmission",0
"2020-03-02","Nepal",1,0,0,0,"Imported cases only",38
"2020-03-02","Sri Lanka",1,0,0,0,"Imported cases only",35
"2020-03-02","Iran (Islamic Republic of)",978,385,54,11,"Local transmission",0
"2020-03-02","Kuwait",56,11,0,0,"Imported cases only",0
"2020-03-02","Bahrain",47,7,0,0,"Imported cases only",0
"2020-03-02","United Arab Emirates",21,2,0,0,"Local transmission",0
"2020-03-02","Iraq",19,6,0,0,"Imported cases only",0
"2020-03-02","Lebanon",10,1,0,0,"Imported cases only",0
"2020-03-02","Oman",6,0,0,0,"Imported cases only",3
"2020-03-02","Pakistan",4,0,0,0,"Imported cases only",1
"2020-03-02","Qatar",3,2,0,0,"Imported cases only",0
"2020-03-02","Egypt",2,1,0,0,"Imported cases only",0
"2020-03-02","Afghanistan",1,0,0,0,"Imported cases only",7
"2020-03-02","the United States",62,2,0,0,"Local transmission",0
"2020-03-02","Canada",19,0,0,0,"Local transmission",1
"2020-03-02","Mexico",5,3,0,0,"Imported cases only",0
"2020-03-02","Brazil",2,0,0,0,"Imported cases only",1
"2020-03-02","Dominican Republic",1,1,0,0,"Imported cases only",0
"2020-03-02","Ecuador",1,0,0,0,"Imported cases only",1
"2020-03-02","Algeria",1,0,0,0,"Imported cases only",6
"2020-03-02","Nigeria",1,0,0,0,"Imported cases only",3
"2020-03-02","Diamond Princess",706,1,6,0,"Local transmission",0
