"Date","Country","Total confirmed cases","New cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"2020-03-27","China",82078,117,3298,5.0,"Local transmission",0.0
"2020-03-27","Republic of Korea",9332,91,139,8.0,"Local transmission",0.0
"2020-03-27","Australia",2985,186,13,2.0,"Local transmission",0.0
"2020-03-27","Malaysia",2031,235,23,4.0,"Local transmission",0.0
"2020-03-27","Japan",1387,96,46,1.0,"Local transmission",0.0
"2020-03-27","Philippines",707,71,45,7.0,"Local transmission",0.0
"2020-03-27","Singapore",683,52,2,0.0,"Local transmission",0.0
"2020-03-27","New Zealand",338,76,0,0.0,"Local transmission",0.0
"2020-03-27","Viet Nam",153,12,0,0.0,"Local transmission",0.0
"2020-03-27","Brunei Darussalam",114,5,0,0.0,"Local transmission",0.0
"2020-03-27","Cambodia",98,2,0,0.0,"Local transmission",0.0
"2020-03-27","Mongolia",11,1,0,0.0,"Imported cases only",0.0
"2020-03-27","Lao People's",0,0,0,0.0,0,0.0
"2020-03-27","0",6,3,0,0.0,"Under investigation",0.0
"2020-03-27","Democratic Republic of the CongoFiji",5,0,0,0.0,"Local transmission",1.0
"2020-03-27","Papua New Guinea",1,0,0,0.0,"Imported cases only",6.0
"2020-03-27","Guam",45,8,1,0.0,"Local transmission",0.0
"2020-03-27","French Polynesia",30,5,0,0.0,"Local transmission",0.0
"2020-03-27","New Caledonia",14,0,0,0.0,"Local transmission",1.0
"2020-03-27","Italy",80539,6153,8165,660.0,"Local transmission",0.0
"2020-03-27","Spain",56188,8578,4089,655.0,"Local transmission",0.0
"2020-03-27","Germany",42288,5780,253,55.0,"Local transmission",0.0
"2020-03-27","France",28786,3866,1695,364.0,"Local transmission",0.0
"2020-03-27","The United Kingdom",11662,2129,578,115.0,"Local transmission",0.0
"2020-03-27","Switzerland",10714,1000,161,58.0,"Local transmission",0.0
"2020-03-27","Netherlands",7431,1019,434,78.0,"Local transmission",0.0
"2020-03-27","Austria",7029,1141,52,18.0,"Local transmission",0.0
"2020-03-27","Belgium",6235,1298,220,42.0,"Local transmission",0.0
"2020-03-27","Turkey",3629,1196,75,16.0,"Local transmission",0.0
"2020-03-27","Portugal",3544,549,60,17.0,"Local transmission",0.0
"2020-03-27","Norway",3156,240,14,2.0,"Local transmission",0.0
"2020-03-27","Israel",3035,666,10,5.0,"Local transmission",0.0
"2020-03-27","Sweden",2806,296,66,24.0,"Local transmission",0.0
"2020-03-27","Czechia",2062,408,9,3.0,"Local transmission",0.0
"2020-03-27","Denmark",1877,153,41,7.0,"Local transmission",0.0
"2020-03-27","Ireland",1819,255,19,10.0,"Local transmission",0.0
"2020-03-27","Luxembourg",1453,120,9,1.0,"Local transmission",0.0
"2020-03-27","Poland",1221,170,16,2.0,"Local transmission",0.0
"2020-03-27","Russian Federation",1036,196,3,1.0,"Local transmission",0.0
"2020-03-27","Romania",1029,123,17,4.0,"Local transmission",0.0
"2020-03-27","Finland",958,78,4,1.0,"Local transmission",0.0
"2020-03-27","Greece",892,71,26,4.0,"Local transmission",0.0
