"Date","Country","Total confirmed cases","New cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"2020-04-01","China",82631,86,3321,7.0,"Local transmission",0.0
"2020-04-01","Republic of Korea",9887,101,165,3.0,"Local transmission",0.0
"2020-04-01","Australia",4707,348,20,2.0,"Local transmission",0.0
"2020-04-01","Malaysia",2766,140,43,6.0,"Local transmission",0.0
"2020-04-01","Japan",2178,225,57,1.0,"Local transmission",0.0
"2020-04-01","Philippines",2084,538,88,10.0,"Local transmission",0.0
"2020-04-01","Singapore",926,47,3,0.0,"Local transmission",0.0
"2020-04-01","New Zealand",647,47,1,0.0,"Local transmission",0.0
"2020-04-01","Viet Nam",207,4,0,0.0,"Local transmission",0.0
"2020-04-01","Brunei Darussalam",129,2,1,0.0,"Local transmission",0.0
"2020-04-01","Cambodia",109,2,0,0.0,"Local transmission",0.0
"2020-04-01","Mongolia",12,0,0,0.0,"Imported cases only",4.0
"2020-04-01","Lao People's",9,1,0,0.0,"Local transmission",0.0
"2020-04-01","Democratic Republic of the CongoFiji",5,0,0,0.0,"Local transmission",6.0
"2020-04-01","Papua New Guinea",1,0,0,0.0,"Imported cases only",11.0
"2020-04-01","Guam",69,11,2,1.0,"Local transmission",0.0
"2020-04-01","French Polynesia",37,1,0,0.0,"Local transmission",0.0
"2020-04-01","New Caledonia",16,1,0,0.0,"Local transmission",0.0
"2020-04-01","Northern Mariana",2,0,0,0.0,"Under investigation",3.0
"2020-04-01","(Commonwealth of",0,0,0,0.0,0,0.0
"2020-04-01","the)",0,0,0,0.0,0,0.0
"2020-04-01","Italy",105792,4053,12430,839.0,"Local transmission",0.0
"2020-04-01","Spain",94417,9222,8189,849.0,"Local transmission",0.0
"2020-04-01","Germany",67366,5453,732,149.0,"Local transmission",0.0
"2020-04-01","France",51477,7500,3514,497.0,"Local transmission",0.0
"2020-04-01","The United Kingdom",25154,3009,1789,381.0,"Local transmission",0.0
"2020-04-01","Switzerland",16108,696,373,78.0,"Local transmission",0.0
"2020-04-01","Turkey",13531,2704,214,46.0,"Local transmission",0.0
"2020-04-01","Belgium",12775,876,705,192.0,"Local transmission",0.0
"2020-04-01","Netherlands",12595,845,1039,175.0,"Local transmission",0.0
"2020-04-01","Austria",10182,564,128,20.0,"Local transmission",0.0
"2020-04-01","Portugal",7443,1035,160,20.0,"Local transmission",0.0
"2020-04-01","Israel",5129,298,21,4.0,"Local transmission",0.0
"2020-04-01","Norway",4447,221,28,2.0,"Local transmission",0.0
"2020-04-01","Sweden",4435,407,180,34.0,"Local transmission",0.0
"2020-04-01","Czechia",3308,306,31,7.0,"Local transmission",0.0
"2020-04-01","Ireland",3235,325,71,17.0,"Local transmission",0.0
"2020-04-01","Denmark",2860,283,90,13.0,"Local transmission",0.0
"2020-04-01","Russian Federation",2337,500,17,8.0,"Local transmission",0.0
"2020-04-01","Poland",2311,256,33,2.0,"Local transmission",0.0
"2020-04-01","Romania",2245,293,69,25.0,"Local transmission",0.0
"2020-04-01","Luxembourg",2178,190,23,1.0,"Local transmission",0.0
"2020-04-01","Finland",1384,71,17,4.0,"Local transmission",0.0
"2020-04-01","Greece",1314,102,49,6.0,"Local transmission",0.0
"2020-04-01","Iceland",1135,49,2,0.0,"Local transmission",0.0
"2020-04-01","Serbia",900,115,13,0.0,"Local transmission",0.0
