"Date","Country","Population","New confirmed cases","New deaths","Total confirmed cases","Total deaths"
"2020-01-01","Sweden",10183175,0,0,0,0
"2020-01-01","Switzerland",8516543,0,0,0,0
"2020-01-01","Taiwan",23780452,0,0,0,0
"2020-01-01","Thailand",69428524,0,0,0,0
"2020-01-01","United Arab Emirates",9630959,0,0,0,0
"2020-01-01","United Kingdom",66488991,0,0,0,0
"2020-01-01","United States of America",327167434,0,0,0,0
"2020-01-01","Vietnam",95540395,0,0,0,0
"2020-01-02","Afghanistan",37172386,0,0,0,0
"2020-01-02","Algeria",42228429,0,0,0,0
"2020-01-02","Armenia",2951776,0,0,0,0
"2020-01-02","Australia",24992369,0,0,0,0
"2020-01-02","Austria",8847037,0,0,0,0
"2020-01-02","Azerbaijan",9942334,0,0,0,0
"2020-01-02","Bahrain",1569439,0,0,0,0
"2020-01-02","Belarus",9485386,0,0,0,0
"2020-01-02","Belgium",11422068,0,0,0,0
"2020-01-02","Brazil",209469333,0,0,0,0
"2020-01-02","Cambodia",16249798,0,0,0,0
"2020-01-02","Canada",37058856,0,0,0,0
"2020-01-02","China",1392730000,0,0,27,0
"2020-01-02","Croatia",4089400,0,0,0,0
"2020-01-02","Czechia",0,0,0,0,0
"2020-01-02","Denmark",5797446,0,0,0,0
"2020-01-02","Diamond Princess",3711,0,0,0,0
"2020-01-02","Dominican Republic",10627165,0,0,0,0
"2020-01-02","Ecuador",17084357,0,0,0,0
"2020-01-02","Egypt",98423595,0,0,0,0
"2020-01-02","Estonia",1320884,0,0,0,0
"2020-01-02","Finland",5518050,0,0,0,0
"2020-01-02","France",66987244,0,0,0,0
"2020-01-02","Georgia",3731000,0,0,0,0
"2020-01-02","Germany",82927922,0,0,0,0
"2020-01-02","Greece",10727668,0,0,0,0
"2020-01-02","Iceland",353574,0,0,0,0
"2020-01-02","India",1352617328,0,0,0,0
"2020-01-02","Indonesia",267663435,0,0,0,0
"2020-01-02","Iran",81800269,0,0,0,0
"2020-01-02","Iraq",38433600,0,0,0,0
"2020-01-02","Ireland",4853506,0,0,0,0
"2020-01-02","Israel",8883800,0,0,0,0
"2020-01-02","Italy",60431283,0,0,0,0
"2020-01-02","Japan",126529100,0,0,0,0
"2020-01-02","Kuwait",4137309,0,0,0,0
"2020-01-02","Lebanon",6848925,0,0,0,0
"2020-01-02","Lithuania",2789533,0,0,0,0
"2020-01-02","Luxembourg",607728,0,0,0,0
"2020-01-02","Malaysia",31528585,0,0,0,0
"2020-01-02","Mexico",126190788,0,0,0,0
"2020-01-02","Monaco",38682,0,0,0,0
"2020-01-02","Nepal",28087871,0,0,0,0
"2020-01-02","Netherlands",17231017,0,0,0,0
"2020-01-02","New Zealand",4885500,0,0,0,0
"2020-01-02","Nigeria",195874740,0,0,0,0
"2020-01-02","North Macedonia",2082958,0,0,0,0
"2020-01-02","Norway",5314336,0,0,0,0
"2020-01-02","Oman",4829483,0,0,0,0
"2020-01-02","Pakistan",212215030,0,0,0,0
"2020-01-02","Philippines",106651922,0,0,0,0
"2020-01-02","Qatar",2781677,0,0,0,0
"2020-01-02","Romania",19473936,0,0,0,0
"2020-01-02","Russia",144478050,0,0,0,0
"2020-01-02","San Marino",33785,0,0,0,0
"2020-01-02","Singapore",5638676,0,0,0,0
"2020-01-02","South Korea",51635256,0,0,0,0
"2020-01-02","Spain",46723749,0,0,0,0
"2020-01-02","Sri Lanka",21670000,0,0,0,0
"2020-01-02","Sweden",10183175,0,0,0,0
"2020-01-02","Switzerland",8516543,0,0,0,0
"2020-01-02","Taiwan",23780452,0,0,0,0
"2020-01-02","Thailand",69428524,0,0,0,0
"2020-01-02","United Arab Emirates",9630959,0,0,0,0
"2020-01-02","United Kingdom",66488991,0,0,0,0
"2020-01-02","United States of America",327167434,0,0,0,0
"2020-01-02","Vietnam",95540395,0,0,0,0
"2020-01-03","Afghanistan",37172386,0,0,0,0
"2020-01-03","Algeria",42228429,0,0,0,0
"2020-01-03","Armenia",2951776,0,0,0,0
"2020-01-03","Australia",24992369,0,0,0,0
"2020-01-03","Austria",8847037,0,0,0,0
"2020-01-03","Azerbaijan",9942334,0,0,0,0
"2020-01-03","Bahrain",1569439,0,0,0,0
"2020-01-03","Belarus",9485386,0,0,0,0
"2020-01-03","Belgium",11422068,0,0,0,0
"2020-01-03","Brazil",209469333,0,0,0,0
"2020-01-03","Cambodia",16249798,0,0,0,0
"2020-01-03","Canada",37058856,0,0,0,0
"2020-01-03","China",1392730000,17,0,44,0
"2020-01-03","Croatia",4089400,0,0,0,0
"2020-01-03","Czechia",0,0,0,0,0
"2020-01-03","Denmark",5797446,0,0,0,0
"2020-01-03","Diamond Princess",3711,0,0,0,0
"2020-01-03","Dominican Republic",10627165,0,0,0,0
"2020-01-03","Ecuador",17084357,0,0,0,0
"2020-01-03","Egypt",98423595,0,0,0,0
"2020-01-03","Estonia",1320884,0,0,0,0
"2020-01-03","Finland",5518050,0,0,0,0
